"Code","Prefecture","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A410101","A410102","A4103","A4200","A420001","A420002","A5101","A510101","A510102","A5102","A510201","A510202","A9101","A9201","B4101","B4102","B4103","B4106","B4109","C3301","C3302","C3801","C3802","C3803","C3804","C5401","C5403","E1101","E1301","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E3701","E3702","E4101","E4401","E4501","E4601","E4602","E6101","E6102","E6201","E6202","E6301","E6302","E6501","E650110","E6502","E650210","E7101","E7102","E7201","E7202","F3101","F3102","F3103","F3104","F3105","F3106","G5105","H1800","H1801","H1802","H1803","H2600","H2601","H2602","H2603","I510120","I5102","I5103","J2503","J2505","J250502","J2506","J2526","L3221","L322101","L322102","L322103","L322104","L322105","L322106","L322107","L322108","L322109","L322110"
"地域コード","都道府県","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","出生数","出生数（男）","出生数（女）","合計特殊出生率","死亡数","死亡数（男）","死亡数（女）","転入者数（日本人移動者）","転入者数（日本人移動者）（男）","転入者数（日本人移動者）（女）","転出者数（日本人移動者）","転出者数（日本人移動者）（男）","転出者数（日本人移動者）（女）","婚姻件数","離婚件数","年平均気温","最高気温（日最高気温の月平均の最高値）","最低気温（日最低気温の月平均の最低値）","降水日数（年間）","降水量（年間）","着工建築物数","着工建築物床面積","旅館営業施設数","旅館営業施設客室数","ホテル営業施設数","ホテル営業施設客室数","標準価格（平均価格）（住宅地）","標準価格（平均価格）（商業地）","幼稚園数","幼稚園教員数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","中学校卒業者数","中学校卒業者のうち進学者数","高等学校数","高等学校教員数","高等学校生徒数","高等学校卒業者数","高等学校卒業者のうち進学者数","短期大学数","大学数","短期大学教員数","大学教員数","短期大学学生数","大学学生数","短期大学卒業者数","短期大学卒業者のうち進学者数","大学卒業者数","大学卒業者のうち進学者数","専修学校数","各種学校数","専修学校生徒数","各種学校生徒数","新規求職申込件数（一般）","月間有効求職者数（一般）","月間有効求人数（一般）","充足数（一般）","就職件数（一般）","県内就職件数（一般）","一般旅券発行件数","着工新設住宅戸数","着工新設持家数","着工新設貸家数","着工新設分譲住宅数","着工新設住宅床面積","着工新設持家床面積","着工新設分譲住宅床面積","着工新設貸家床面積","一般病院数","一般診療所数","歯科診療所数","保育所等数","保育所等定員数","保育所等利用待機児童数","保育所等在所児数","保育所等保育士数","消費支出（二人以上の世帯）","食料費（二人以上の世帯）","住居費（二人以上の世帯）","光熱・水道費（二人以上の世帯）","家具・家事用品費（二人以上の世帯）","被服及び履物費（二人以上の世帯）","保健医療費（二人以上の世帯）","交通・通信費（二人以上の世帯）","教育費（二人以上の世帯）","教養娯楽費（二人以上の世帯）","その他の消費支出（二人以上の世帯）"
"R01000","北海道","5506419","2603345","2903074","5482650","2593193","2889457","657312","335353","321959","3482169","1695591","1786578","1358068","567141","790927","40158","20518","19640","1.26","55404","29845","25559","48784","29311","19473","57421","33491","23930","28389","12596","9.8","29.1","-6.3","149","1325","20507","4776843","3392","114877","677","63177","19600","63200","557","5287","64890","1248","19884","274624","677","12565","145609","48701","47649","309","11471","144222","46701","18872","19","36","409","6483","6524","80946","2853","467","17576","2365","185","56","33086","5002","368267","1331804","488408","68305","69536","67677","110197","29922","11540","14465","3599","2773924","1510365","388610","850504","514","3388","3020","793","62914","936","62625","9461","300961","64746","23750","23611","10335","12895","11584","44827","13100","32980","63133"
"R02000","青森県","1373339","646141","727198","1367057","643407","723650","171842","87585","84257","843587","414888","428699","352768","140636","212132","9711","4949","4762","1.38","16030","8552","7478","19963","11844","8119","24995","14183","10812","5924","2679","11.1","30.6","-4.2","167","1570","5484","1095327","922","22236","133","10866","21600","43500","131","788","9228","347","5399","74754","174","3391","41203","13957","13559","86","3359","41639","13267","5555","6","10","183","1256","1820","14854","708","34","3220","326","37","16","2616","579","99098","351128","103253","22295","24111","21589","18940","4680","3121","1269","221","529048","431852","23059","69671","88","932","572","453","30591","5","32932","5140","250433","64016","14169","27266","9315","9257","11535","31313","8267","24357","50936"
"R03000","岩手県","1330147","634971","695176","1322417","632252","690165","168804","86612","82192","795780","399160","396620","360498","146040","214458","9745","4939","4806","1.46","15756","8188","7568","17893","10188","7705","22131","11868","10263","5724","2327","11","31.4","-5.2","145","1634","6062","1174121","969","21940","160","10702","27300","56300","147","966","12616","394","5399","71949","193","3276","38010","12885","12708","82","3179","39350","12750","5244","5","5","101","1356","1236","11938","596","73","2544","410","35","8","5927","493","82681","328763","125686","25867","27244","24605","19455","5228","3278","1567","357","552543","430709","36591","83500","80","918","611","339","25115","53","25819","3908","283340","66158","24066","24107","9102","10553","11841","34753","12082","27813","62864"
"R04000","宮城県","2348165","1139566","1208599","2325744","1128713","1197031","308201","158024","150177","1501638","750516","751122","520794","219576","301218","19126","9810","9316","1.3","21932","11577","10355","47358","27045","20313","47914","27139","20775","11972","4667","13.2","31.4","-1.4","105","1444","10904","2201437","243","17623","145","14777","32300","197100","301","2385","32024","455","8255","128901","224","4860","65480","21943","21381","102","4667","63447","20539","9347","5","14","88","4541","1258","50168","588","16","11022","1663","62","24","18736","1670","123451","532579","211933","28911","28815","26500","49057","12622","5599","4574","2336","1223547","735827","238052","239933","119","1589","1060","320","26201","948","27162","4552","287507","67004","12606","23276","10023","11678","12633","33646","14567","34022","68051"
"R05000","秋田県","1085997","509926","576071","1078608","507085","571523","124061","63335","60726","639633","318068","321565","320450","127284","193166","6688","3450","3238","1.31","14288","7487","6801","12735","7281","5454","16463","9014","7449","4281","1795","12.3","31.2","-2.7","190","1890.5","5130","873941","653","17284","88","7522","18000","36400","95","808","8361","253","3880","52503","132","2435","29411","10021","9849","63","2498","30048","9803","4364","5","6","100","960","1254","8314","591","57","1789","313","26","5","1795","170","67879","270014","95192","19413","20279","18981","15937","3981","2505","1126","320","440302","339912","33707","65337","61","816","463","239","21311","204","22332","3381","276281","66638","7615","24867","9324","11571","11241","38410","8685","30194","67735"
"R06000","山形県","1168924","560643","608281","1161087","558447","602640","149759","76678","73081","694110","350070","344040","321722","131799","189923","8651","4478","4173","1.48","14084","7243","6841","13517","7556","5961","17124","9131","7993","5159","1887","12.5","33.6","-3.2","145","1418.5","5187","964174","989","21692","135","8279","22100","49800","113","1019","11604","332","4554","62972","120","2579","33642","11343","11205","68","2759","34642","11254","5212","3","5","100","1055","1628","11218","815","129","2540","563","22","6","1924","239","65420","256184","111973","20418","20951","19924","21175","4224","2566","1212","411","468380","360296","39619","64269","56","922","481","225","19856","204","20400","2971","308540","69699","23079","27059","10038","11062","10352","49516","15395","30973","61366"
"R07000","福島県","2029064","984682","1044382","2012016","977468","1034548","276069","141275","134794","1236458","627269","609189","504451","208632","295819","16126","8371","7755","1.52","22747","11902","10845","25611","14658","10953","31363","16907","14456","9582","3965","13.8","34.1","-1.2","117","1518.5","8971","1646952","1676","36003","224","14643","22400","51400","357","2426","30026","513","7775","117668","246","4718","61866","20887","20051","113","4678","61219","19726","8342","5","8","165","1202","2445","15421","1108","119","3112","289","54","12","6309","616","103173","417920","157291","26809","27702","25763","40353","8912","5190","2998","712","904587","672182","74196","156373","115","1457","915","310","26020","122","26853","4373","289778","66164","14973","25375","10880","10470","11761","36048","7189","31980","74937"
"R08000","茨城県","2969770","1479779","1489991","2922821","1457413","1465408","399638","205036","194602","1891701","971783","919918","665065","293947","371118","23989","12326","11663","1.44","28615","15255","13360","50029","28549","21480","49085","27343","21742","15044","5693","14.5","32.6","-2.3","103","1530.5","17533","3248887","1391","30393","293","15180","36700","63700","380","2872","40384","570","10372","167945","244","6240","85938","28343","27330","131","5920","81626","26114","13273","4","9","66","2956","1060","30439","494","12","6725","1623","67","18","7814","1254","111198","463883","208172","25639","27141","23338","89639","19958","10647","6965","2066","1937969","1350915","220445","354313","164","1697","1403","451","40943","216","43730","6023","318633","66024","19426","22398","11617","12807","12235","43423","14256","34725","81722"
"R09000","栃木県","2007683","996855","1010828","1964917","976919","987998","269823","138441","131382","1281274","659810","621464","438196","188645","249551","16473","8516","7957","1.44","19712","10407","9305","31940","18080","13860","33465","18527","14938","10616","3898","14.8","33.2","-2","123","1718","11661","2127797","1594","36542","167","10175","41300","83100","202","2592","31554","396","6984","112449","175","4227","56769","18900","18126","80","3912","56136","17818","9676","6","9","194","3359","2105","19985","883","70","4246","447","61","33","8015","1059","81353","364251","166614","23772","24173","21635","53919","13242","7218","4317","1604","1342558","930032","173822","229756","92","1421","988","330","28105","76","29995","4538","333560","71859","15967","23746","11507","13077","14049","48736","11350","39165","84103"
