"Code","Prefecture","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A410101","A410102","A4103","A4200","A420001","A420002","A5101","A510101","A510102","A5102","A510201","A510202","A9101","A9201","B4101","B4102","B4103","B4106","B4109","C3301","C3302","C3801","C3802","C3803","C3804","C5401","C5403","E1101","E1301","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E3701","E3702","E4101","E4401","E4501","E4601","E4602","E6101","E6102","E6201","E6202","E6301","E6302","E6501","E650110","E6502","E650210","E7101","E7102","E7201","E7202","F3101","F3102","F3103","F3104","F3105","F3106","G5105","H1800","H1801","H1802","H1803","H2600","H2601","H2602","H2603","I510120","I5102","I5103","J2503","J2505","J250502","J2506","J2526","L3221","L322101","L322102","L322103","L322104","L322105","L322106","L322107","L322108","L322109","L322110"
"地域コード","都道府県","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","出生数","出生数（男）","出生数（女）","合計特殊出生率","死亡数","死亡数（男）","死亡数（女）","転入者数（日本人移動者）","転入者数（日本人移動者）（男）","転入者数（日本人移動者）（女）","転出者数（日本人移動者）","転出者数（日本人移動者）（男）","転出者数（日本人移動者）（女）","婚姻件数","離婚件数","年平均気温","最高気温（日最高気温の月平均の最高値）","最低気温（日最低気温の月平均の最低値）","降水日数（年間）","降水量（年間）","着工建築物数","着工建築物床面積","旅館営業施設数","旅館営業施設客室数","ホテル営業施設数","ホテル営業施設客室数","標準価格（平均価格）（住宅地）","標準価格（平均価格）（商業地）","幼稚園数","幼稚園教員数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","中学校卒業者数","中学校卒業者のうち進学者数","高等学校数","高等学校教員数","高等学校生徒数","高等学校卒業者数","高等学校卒業者のうち進学者数","短期大学数","大学数","短期大学教員数","大学教員数","短期大学学生数","大学学生数","短期大学卒業者数","短期大学卒業者のうち進学者数","大学卒業者数","大学卒業者のうち進学者数","専修学校数","各種学校数","専修学校生徒数","各種学校生徒数","新規求職申込件数（一般）","月間有効求職者数（一般）","月間有効求人数（一般）","充足数（一般）","就職件数（一般）","県内就職件数（一般）","一般旅券発行件数","着工新設住宅戸数","着工新設持家数","着工新設貸家数","着工新設分譲住宅数","着工新設住宅床面積","着工新設持家床面積","着工新設分譲住宅床面積","着工新設貸家床面積","一般病院数","一般診療所数","歯科診療所数","保育所等数","保育所等定員数","保育所等利用待機児童数","保育所等在所児数","保育所等保育士数","消費支出（二人以上の世帯）","食料費（二人以上の世帯）","住居費（二人以上の世帯）","光熱・水道費（二人以上の世帯）","家具・家事用品費（二人以上の世帯）","被服及び履物費（二人以上の世帯）","保健医療費（二人以上の世帯）","交通・通信費（二人以上の世帯）","教育費（二人以上の世帯）","教養娯楽費（二人以上の世帯）","その他の消費支出（二人以上の世帯）"
"R01000","北海道","5579000","2644000","2935000","5562000","2637000","2925000","689000","351000","338000","3608000","1753000","1855000","1274000","534000","740000","41550","21070","20480","1.19","51456","28142","23314","51445","30799","20646","71712","43170","28542","28825","12956","9.4","28.3","-5.2","132","1028.5","23514","6503298","3556","114909","653","60123","23400","71600","569","5168","69107","1334","19834","286496","696","12649","154550","52346","51205","326","11954","150769","48189","19439","21","36","449","6418","7844","82265","3800","540","18175","2384","184","66","35635","5124","370891","1421043","675182","127709","134254","129717","111325","42397","12049","22919","7098","3737272","1643068","808501","1261767","534","3381","3051","832","64781","450","64209","9055","289715","63948","22306","24174","8429","12314","12955","36094","10763","32836","65896"
"R02000","青森県","1409000","664000","745000","1405000","663000","742000","185000","94000","91000","886000","434000","451000","336000","134000","202000","10162","5165","4997","1.28","14968","8107","6861","20620","12216","8404","30894","17678","13216","6405","3014","11.1","29.6","-1.8","151","1293","6360","1435635","972","21680","126","10103","25000","52400","135","880","10986","376","5728","80598","178","3490","44134","14707","14238","89","3490","43230","14013","5843","6","9","149","1253","1670","15117","730","35","3528","329","37","16","2370","830","109020","367129","137499","22300","25426","21728","18205","6228","3531","2351","275","686107","509378","29794","142031","91","969","579","478","32731","75","35086","5183","259883","66056","12568","26556","8985","10682","11556","27340","11059","25599","59483"
"R03000","岩手県","1364000","652000","712000","1359000","651000","708000","179000","92000","87000","834000","418000","416000","351000","142000","209000","10344","5406","4938","1.39","14768","7845","6923","19087","10728","8359","26097","14556","11541","6354","2308","10.7","28.8","-3.2","126","1398","7522","1442117","1046","23537","160","10189","31400","69000","154","1019","14510","429","5635","75749","199","3362","41481","13970","13709","92","3355","41882","13662","5330","5","5","114","1324","1447","11480","685","75","2547","441","37","10","5775","466","78640","283654","176286","26429","29092","25471","20258","7338","3571","3163","575","718310","495182","57171","163660","84","931","604","345","25203","92","26621","3687","297903","69048","20167","25109","8382","12974","13367","35469","10844","29684","72861"
"R04000","宮城県","2354000","1144000","1210000","2342000","1139000","1203000","319000","163000","155000","1535000","769000","766000","493000","207000","286000","19810","10278","9532","1.27","20347","11026","9321","50193","28703","21490","55587","32154","23433","12824","4665","13.1","29.9","0","98","1343.5","11478","3051229","976","42070","255","18131","40800","208600","314","2363","34813","463","8286","131466","229","4888","67692","22969","22375","109","4970","67118","21878","9826","4","14","71","4255","1368","49445","748","24","11014","1712","69","26","22176","1675","109559","425494","332947","30360","30622","27704","49599","17895","5388","8335","4055","1537673","739519","405365","384673","120","1590","1058","333","26663","806","27639","4375","306736","68102","28007","22837","9988","12027","11845","42181","12541","28292","70917"
"R05000","秋田県","1121000","528000","593000","1118000","527000","591000","132000","68000","65000","675000","335000","340000","314000","125000","189000","7502","3866","3636","1.31","13743","7278","6465","13237","7610","5627","20043","11131","8912","4484","1894","12.4","29.2","-0.7","158","1555","6448","1459213","699","18314","88","7952","21000","46000","100","781","9601","284","4163","57244","136","2498","32128","10860","10587","63","2592","31712","10612","4565","6","5","124","915","1435","8316","636","59","1785","254","28","5","2124","211","69572","250205","119282","18565","19948","18140","15888","5797","2987","2121","596","613368","422263","60873","123251","62","817","473","242","21116","192","22104","3102","292550","66301","16821","25853","11065","12394","11228","33301","10840","28807","75939"
"R06000","山形県","1198000","575000","623000","1191000","574000","618000","157000","80000","77000","726000","367000","360000","315000","129000","187000","9139","4729","4410","1.42","13242","6898","6344","14658","8179","6479","19853","10860","8993","5461","1988","12.2","31.6","-2.2","133","1247.5","6051","1210131","1073","22819","133","8016","25100","55400","118","1040","13040","346","4637","66272","130","2718","36035","12094","11912","68","2871","36871","12129","5469","3","4","105","976","1700","11272","830","121","2586","569","24","7","2115","253","62032","223192","164891","20532","21549","20062","22960","5590","2805","2109","629","606050","433609","67883","100974","58","930","467","235","19803","205","20289","2707","326761","68720","21291","27051","9362","15957","14417","41217","16581","31448","80719"
"R07000","福島県","2067000","1004000","1063000","2058000","1001000","1057000","294000","151000","144000","1283000","652000","631000","490000","202000","288000","17101","8795","8306","1.49","21339","11333","10006","27283","15595","11688","36232","20018","16214","10178","4159","13.6","31.9","-0.6","110","1279","10976","2495191","1989","40155","251","15233","26100","58600","370","2434","32716","548","8205","123220","246","4989","66135","22333","21450","115","4870","64661","20833","8879","5","8","171","1153","2687","15691","1271","108","3342","231","56","14","6093","699","90419","324038","245467","26679","28072","25752","41694","11950","6283","4509","1115","1170311","853589","110899","202964","122","1470","915","311","25962","149","26741","4007","321100","65322","23054","25524","9365","14275","12067","45955","11656","32150","81729"
"R08000","茨城県","2973000","1480000","1493000","2934000","1461000","1473000","410000","210000","199000","1945000","997000","947000","614000","269000","345000","24829","12733","12096","1.35","26244","14271","11973","52849","30581","22268","55295","31311","23984","15582","5824","14.4","32.2","-0.4","100","1367","19020","4290551","1470","32370","280","14362","40300","71500","393","2958","44028","579","10261","171752","243","6234","89232","29739","28683","134","6215","84084","27322","13923","5","9","105","2868","2002","30586","1006","32","6889","1501","65","25","7840","1349","90838","345003","292016","24850","26761","22915","86976","25280","11114","8553","5513","2441165","1446539","591068","396737","173","1714","1376","454","40452","469","43340","5790","334475","66128","17137","22096","12958","17505","14984","55303","12564","37987","77813"
"R09000","栃木県","2016000","1002000","1014000","1989000","989000","999000","279000","143000","136000","1321000","682000","639000","413000","176000","237000","17233","8824","8409","1.39","18184","9675","8509","36609","21354","15255","36727","20483","16244","11108","4041","14.6","32.6","-0.9","109","1320.5","13355","3033663","1772","36817","152","8454","44300","91000","207","2579","33492","414","7036","113986","180","4286","58968","19656","18822","85","4158","59506","19360","10171","6","9","203","3040","2645","20824","1261","104","4627","486","65","35","8771","1115","63623","252195","319780","21299","21002","18938","54837","17188","7993","6866","2082","1636721","1068997","215880","316601","97","1424","991","341","28415","113","31096","4571","304418","67828","17552","22058","10292","12608","13143","51006","10119","31267","68545"
