"Code","Prefecture","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A410101","A410102","A4103","A4200","A420001","A420002","A5101","A510101","A510102","A5102","A510201","A510202","A9101","A9201","B4101","B4102","B4103","B4106","B4109","C3301","C3302","C3801","C3802","C3803","C3804","C5401","C5403","E1101","E1301","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E3701","E3702","E4101","E4401","E4501","E4601","E4602","E6101","E6102","E6201","E6202","E6301","E6302","E6501","E650110","E6502","E650210","E7101","E7102","E7201","E7202","F3101","F3102","F3103","F3104","F3105","F3106","G5105","H1800","H1801","H1802","H1803","H2600","H2601","H2602","H2603","I510120","I5102","I5103","J2503","J2505","J250502","J2506","J2526","L3221","L322101","L322102","L322103","L322104","L322105","L322106","L322107","L322108","L322109","L322110"
"地域コード","都道府県","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","出生数","出生数（男）","出生数（女）","合計特殊出生率","死亡数","死亡数（男）","死亡数（女）","転入者数（日本人移動者）","転入者数（日本人移動者）（男）","転入者数（日本人移動者）（女）","転出者数（日本人移動者）","転出者数（日本人移動者）（男）","転出者数（日本人移動者）（女）","婚姻件数","離婚件数","年平均気温","最高気温（日最高気温の月平均の最高値）","最低気温（日最低気温の月平均の最低値）","降水日数（年間）","降水量（年間）","着工建築物数","着工建築物床面積","旅館営業施設数","旅館営業施設客室数","ホテル営業施設数","ホテル営業施設客室数","標準価格（平均価格）（住宅地）","標準価格（平均価格）（商業地）","幼稚園数","幼稚園教員数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","中学校卒業者数","中学校卒業者のうち進学者数","高等学校数","高等学校教員数","高等学校生徒数","高等学校卒業者数","高等学校卒業者のうち進学者数","短期大学数","大学数","短期大学教員数","大学教員数","短期大学学生数","大学学生数","短期大学卒業者数","短期大学卒業者のうち進学者数","大学卒業者数","大学卒業者のうち進学者数","専修学校数","各種学校数","専修学校生徒数","各種学校生徒数","新規求職申込件数（一般）","月間有効求職者数（一般）","月間有効求人数（一般）","充足数（一般）","就職件数（一般）","県内就職件数（一般）","一般旅券発行件数","着工新設住宅戸数","着工新設持家数","着工新設貸家数","着工新設分譲住宅数","着工新設住宅床面積","着工新設持家床面積","着工新設分譲住宅床面積","着工新設貸家床面積","一般病院数","一般診療所数","歯科診療所数","保育所等数","保育所等定員数","保育所等利用待機児童数","保育所等在所児数","保育所等保育士数","消費支出（二人以上の世帯）","食料費（二人以上の世帯）","住居費（二人以上の世帯）","光熱・水道費（二人以上の世帯）","家具・家事用品費（二人以上の世帯）","被服及び履物費（二人以上の世帯）","保健医療費（二人以上の世帯）","交通・通信費（二人以上の世帯）","教育費（二人以上の世帯）","教養娯楽費（二人以上の世帯）","その他の消費支出（二人以上の世帯）"
"R01000","北海道","5320000","2506000","2814000","5292000","2494000","2797000","588000","301000","288000","3099000","1523000","1576000","1632000","683000","950000","34040","17503","16537","1.29","62417","31995","30422","48561","29134","19427","55130","31448","23682","23960","10147","9.1","27.7","-7","146","1158","21430","5480381","2897","108959","702","66817","18800","68800","438","4929","51182","1061","19078","245504","611","11907","131051","44746","43333","283","10484","126799","40859","18570","16","38","294","6745","5112","77841","2375","264","16707","2176","169","52","26928","4119","211045","772601","856866","47555","48178","46307","107166","37062","11466","21052","4134","3014254","1417542","438020","1132127","493","3384","2934","979","77751","65","73231","10393","286698","69640","24217","25633","10550","11222","12242","39559","9837","26797","57003"
"R02000","青森県","1278000","600000","678000","1274000","599000","675000","141000","72000","69000","731000","362000","368000","407000","166000","241000","8035","4104","3931","1.43","17575","8868","8707","17454","10449","7005","23529","12997","10532","5122","2092","10.7","28.6","-3.2","172","1388","6731","1143670","693","20461","140","11706","16300","33600","94","695","5734","289","4753","59233","161","3148","33921","11830","11599","78","3061","35865","11717","5491","5","10","142","1356","1287","15055","651","24","3368","257","28","11","2373","286","58225","203753","227618","18233","19476","17609","15396","6454","3725","2105","561","653599","473907","53278","120944","78","881","534","467","34493","0","32943","3252","246650","69216","13980","27751","8785","7371","11031","30689","5877","21813","50136"
"R03000","岩手県","1255000","604000","651000","1249000","602000","647000","144000","74000","70000","711000","363000","348000","400000","168000","232000","8175","4132","4043","1.47","17232","8658","8574","16658","9512","7146","21019","11393","9626","4775","1860","10.6","29.2","-4.7","131","1409.5","8070","1485889","826","21983","175","12264","24800","45300","102","748","7387","326","4911","60141","165","3051","33023","11302","11123","80","3029","34446","11162","4975","5","6","89","1400","999","11319","500","77","2413","352","36","7","5127","412","48998","175221","236325","19552","20647","18480","16615","8024","4204","3233","540","736734","510899","54540","166926","78","874","587","370","29056","178","28301","3971","276258","71755","15542","25384","9352","10428","13667","34538","10128","25039","60424"
"R04000","宮城県","2323000","1136000","1188000","2305000","1127000","1178000","280000","144000","137000","1412000","717000","695000","631000","275000","357000","16648","8593","8055","1.31","23876","12230","11646","46064","26544","19520","47326","27144","20182","10646","3734","12.9","29.3","-0.7","101","1320.5","14338","2968930","785","34230","268","23210","37000","194900","247","2334","29769","395","7916","117402","211","4928","61189","20818","20224","95","4559","60764","19712","9715","4","14","146","4970","2362","48163","964","11","10755","1558","65","23","15648","1950","75721","298893","482818","24328","24059","21303","48853","21173","6307","9647","5109","1747441","794751","501374","444290","114","1659","1064","429","36238","790","35765","5925","280273","71418","20481","20680","11232","9724","15059","31686","11490","27897","60606"
"R05000","秋田県","996000","468000","528000","992000","467000","526000","101000","51000","49000","541000","271000","270000","354000","146000","209000","5396","2730","2666","1.35","15425","7513","7912","10947","6417","4530","15266","8124","7142","3311","1366","11.9","29.1","-2","192","1935","5044","761815","565","15951","91","7751","13500","25500","41","381","2936","202","3373","43795","117","2273","23894","8171","8038","55","2165","24818","8313","3769","4","7","61","1035","685","8897","331","13","2021","339","24","4","1578","146","38605","138191","172879","14866","15517","14396","11616","3961","2524","1018","386","409374","313140","38686","54176","53","804","442","271","25447","41","23234","3116","260696","69879","16429","26604","9720","8370","11972","36457","6325","22117","52823"
"R06000","山形県","1102000","531000","571000","1095000","529000","567000","130000","66000","63000","617000","312000","305000","355000","152000","203000","7259","3729","3530","1.45","15331","7438","7893","12535","7221","5314","16399","8689","7710","4311","1454","11.9","30.7","-2.5","149","1341.5","6436","1117811","834","19955","133","8306","19400","40500","75","734","7249","258","4049","54043","101","2387","29572","10211","10084","62","2564","30648","9943","4499","3","6","86","1074","1183","11533","592","94","2567","491","23","5","2043","140","42401","145294","208872","16592","17046","15902","17804","5968","3005","2152","762","573463","389380","81734","98801","55","926","485","267","24374","67","23918","3279","308816","77619","16797","29177","9930","10424","12249","51414","9057","25719","66429"
"R07000","福島県","1882000","932000","951000","1871000","927000","944000","220000","113000","107000","1093000","569000","523000","569000","249000","320000","13217","6761","6456","1.57","24778","12555","12223","23962","14353","9609","32357","18695","13662","8075","3200","13.4","31.4","-1.3","111","1202.5","12351","2225347","1581","40002","264","18093","23400","44900","276","1972","20357","454","6964","91886","230","4444","51460","17622","16865","111","4202","52148","16967","7861","5","8","149","1456","1761","14125","822","42","2893","234","53","12","6238","572","69578","249558","361302","24872","25913","23350","33870","14340","6136","5983","1938","1296738","782019","199528","304947","105","1355","860","326","28590","616","27659","4029","310692","75332","19500","25415","11557","11852","12566","44736","9421","28366","71946"
"R08000","茨城県","2892000","1442000","1450000","2847000","1420000","1427000","355000","182000","173000","1719000","892000","827000","819000","369000","450000","20431","10572","9859","1.48","32260","17021","15239","45737","26720","19017","48749","27357","21392","12790","4694","14.2","30.8","-1.8","97","1126.5","17478","4023134","973","26288","293","15709","32400","64300","277","2097","25469","505","9993","148267","231","6102","78906","26870","25985","120","5754","78372","25648","12940","3","9","53","3181","893","30223","433","2","6694","1505","63","11","9573","623","72520","285133","393717","20996","22483","18617","73160","20894","9257","7802","3714","1918897","1115284","396462","398599","156","1728","1400","554","54895","516","52726","6022","310831","71154","17348","21904","10777","13276","10689","49895","11701","28793","75292"
"R09000","栃木県","1957000","974000","983000","1930000","962000","968000","245000","126000","119000","1176000","609000","567000","536000","239000","297000","14029","7251","6778","1.45","21829","11183","10646","30748","17721","13027","32358","17987","14371","8787","3215","14.1","31.2","-1.9","109","1307.5","11764","2382599","1418","35255","168","11506","32800","66400","114","1718","16798","369","6994","102325","165","4187","53888","18257","17534","75","3703","53677","17139","8992","6","9","148","3893","1629","19740","790","49","4369","431","60","21","8597","1002","59859","242119","310225","18405","19474","16422","46018","13380","6305","4481","2555","1290612","767332","280560","238878","89","1442","986","375","36236","131","34521","4563","301064","76587","18736","22399","9666","11657","11993","41521","10509","28849","69148"
