"Code","Prefecture","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A410101","A410102","A4103","A4200","A420001","A420002","A5101","A510101","A510102","A5102","A510201","A510202","A9101","A9201","B4101","B4102","B4103","B4106","B4109","C3301","C3302","C3801","C3802","C3803","C3804","C5401","C5403","E1101","E1301","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E3701","E3702","E4101","E4401","E4501","E4601","E4602","E6101","E6102","E6201","E6202","E6301","E6302","E6501","E650110","E6502","E650210","E7101","E7102","E7201","E7202","F3101","F3102","F3103","F3104","F3105","F3106","G5105","H1800","H1801","H1802","H1803","H2600","H2601","H2602","H2603","I510120","I5102","I5103","J2503","J2505","J250502","J2506","J2526","L3221","L322101","L322102","L322103","L322104","L322105","L322106","L322107","L322108","L322109","L322110"
"地域コード","都道府県","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","出生数","出生数（男）","出生数（女）","合計特殊出生率","死亡数","死亡数（男）","死亡数（女）","転入者数（日本人移動者）","転入者数（日本人移動者）（男）","転入者数（日本人移動者）（女）","転出者数（日本人移動者）","転出者数（日本人移動者）（男）","転出者数（日本人移動者）（女）","婚姻件数","離婚件数","年平均気温","最高気温（日最高気温の月平均の最高値）","最低気温（日最低気温の月平均の最低値）","降水日数（年間）","降水量（年間）","着工建築物数","着工建築物床面積","旅館営業施設数","旅館営業施設客室数","ホテル営業施設数","ホテル営業施設客室数","標準価格（平均価格）（住宅地）","標準価格（平均価格）（商業地）","幼稚園数","幼稚園教員数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","中学校卒業者数","中学校卒業者のうち進学者数","高等学校数","高等学校教員数","高等学校生徒数","高等学校卒業者数","高等学校卒業者のうち進学者数","短期大学数","大学数","短期大学教員数","大学教員数","短期大学学生数","大学学生数","短期大学卒業者数","短期大学卒業者のうち進学者数","大学卒業者数","大学卒業者のうち進学者数","専修学校数","各種学校数","専修学校生徒数","各種学校生徒数","新規求職申込件数（一般）","月間有効求職者数（一般）","月間有効求人数（一般）","充足数（一般）","就職件数（一般）","県内就職件数（一般）","一般旅券発行件数","着工新設住宅戸数","着工新設持家数","着工新設貸家数","着工新設分譲住宅数","着工新設住宅床面積","着工新設持家床面積","着工新設分譲住宅床面積","着工新設貸家床面積","一般病院数","一般診療所数","歯科診療所数","保育所等数","保育所等定員数","保育所等利用待機児童数","保育所等在所児数","保育所等保育士数","消費支出（二人以上の世帯）","食料費（二人以上の世帯）","住居費（二人以上の世帯）","光熱・水道費（二人以上の世帯）","家具・家事用品費（二人以上の世帯）","被服及び履物費（二人以上の世帯）","保健医療費（二人以上の世帯）","交通・通信費（二人以上の世帯）","教育費（二人以上の世帯）","教養娯楽費（二人以上の世帯）","その他の消費支出（二人以上の世帯）"
"R01000","北海道","5465000","2580000","2886000","5446000","2572000","2874000","640000","326000","314000","3398000","1658000","1739000","1422000","592000","830000","38686","19750","18936","1.26","58066","30834","27232","49367","28896","20471","56112","32880","23232","26538","11593","9.3","27.2","-7.8","148","1279","21966","5347660","3246","112181","687","63794","18400","58400","558","5418","65725","1176","19603","265023","662","12406","141516","47965","46865","297","11152","139147","45817","18265","18","35","348","6498","5622","79242","2786","395","17196","2150","180","57","32578","4822","312730","1168445","659257","66696","67022","64789","112212","35523","12055","18901","4387","3155047","1574389","478137","1087221","504","3386","3014","813","65412","1075","65350","10132","281574","63444","16668","26077","8369","11414","13248","40937","10137","29009","62271"
"R02000","青森県","1350000","635000","716000","1347000","634000","714000","164000","83000","80000","822000","406000","416000","364000","145000","219000","9168","4771","4397","1.36","17294","8953","8341","19305","11454","7851","24648","13871","10777","5846","2408","10.5","29.6","-5.1","173","1295.5","6008","1177329","890","22040","138","10984","19200","38200","122","816","8602","323","5148","69759","170","3322","39374","13314","12997","85","3258","40037","13330","5518","6","10","177","1320","1910","14636","846","30","3341","276","34","14","2664","422","88269","309813","151798","23847","25368","22840","18765","5578","3363","1844","348","585937","443657","35199","104809","86","893","563","446","30406","0","32655","5142","251153","61839","13668","29040","10381","9811","10989","28739","8907","23000","54779"
"R03000","岩手県","1306000","625000","680000","1302000","624000","677000","162000","83000","79000","777000","392000","386000","364000","148000","216000","9276","4776","4500","1.44","16072","8269","7803","19306","11201","8105","21691","11892","9799","5629","1975","10.8","32","-7.2","111","1029.5","8691","1694783","923","21260","160","10583","25300","49800","142","965","12287","372","5303","68004","189","3346","37079","12377","12238","81","3109","37533","12581","5088","5","5","100","1353","1153","11600","534","89","2347","332","33","8","5900","501","73936","275175","228714","31510","32925","29835","20756","8121","4522","2978","539","807571","587995","55565","160338","77","918","590","354","26121","135","27256","4147","275001","67891","19574","26990","9875","10115","13264","32743","5851","24827","63872"
"R04000","宮城県","2329000","1134000","1195000","2319000","1130000","1189000","301000","154000","147000","1491000","750000","740000","534000","226000","307000","18707","9527","9180","1.3","22101","11475","10626","53183","31501","21682","47114","26951","20163","12315","3957","12.6","30.8","-3.1","104","1179.5","18612","3845549","849","31429","252","19270","31600","175300","290","2421","33070","438","8117","123975","220","4921","64906","21605","21092","100","4628","62424","20254","9709","4","14","90","4615","1165","49395","521","1","11053","1606","66","23","17681","1665","101808","437552","461514","37903","37778","33694","57878","21177","9575","7527","3875","2090381","1271415","393009","407284","115","1616","1044","332","27769","857","29200","4903","295433","69929","14779","23889","13189","14081","11215","41211","14240","30295","62605"
"R05000","秋田県","1063000","499000","564000","1060000","498000","562000","118000","60000","58000","619000","308000","311000","326000","130000","196000","6543","3281","3262","1.37","14856","7485","7371","12503","7172","5331","16077","8858","7219","4020","1495","12.1","31.3","-3.8","173","1742.5","5572","886537","615","16741","87","7590","16100","31600","93","761","7790","237","3727","49468","125","2370","28084","9583","9432","59","2382","28724","9776","4200","5","6","90","994","1154","8527","544","46","1847","230","25","5","1700","149","59610","228030","121981","19433","20602","18859","16378","3761","2673","709","319","431333","357709","33033","36585","58","821","449","250","22820","22","23317","3681","295071","67455","23413","26104","11049","11431","12057","33427","9519","29347","71269"
"R06000","山形県","1153000","554000","600000","1148000","552000","596000","145000","74000","71000","681000","344000","337000","326000","134000","191000","8212","4206","4006","1.44","14752","7416","7336","14444","8143","6301","17144","9239","7905","4881","1687","11.8","33.6","-5.6","129","991.5","6167","1035480","927","20975","131","8076","20400","45500","109","1017","11777","309","4442","61132","114","2537","32587","10977","10849","64","2660","33511","11176","4954","3","5","97","1090","1332","11273","692","131","2449","528","22","6","1939","234","58436","221110","162719","20587","21170","19693","21430","4884","3189","1300","304","559966","447411","34990","71671","55","933","482","238","21136","158","21711","3356","299735","66691","17864","28346","9310","10318","10846","51184","11389","24173","69615"
"R07000","福島県","1957000","956000","1001000","1950000","954000","996000","252000","129000","123000","1198000","612000","586000","511000","213000","298000","13770","7075","6695","1.41","23418","12079","11339","23346","14201","9145","37189","19915","17274","9285","3210","13.2","34.2","-3.1","109","1070.5","12059","2197869","1771","38934","259","16313","20800","45600","351","2241","25283","491","7346","103324","245","4708","58026","19427","18722","112","4505","57343","19067","8255","5","8","163","1221","2059","14717","1040","95","3317","268","56","12","6395","630","87048","333749","318018","33129","33763","30941","42709","12421","6917","4529","786","1215053","896225","82186","231669","107","1397","876","301","25088","55","24688","4200","288946","65614","16452","26318","9408","10841","10174","48236","8340","25676","67889"
"R08000","茨城県","2947000","1469000","1478000","2910000","1452000","1459000","388000","199000","189000","1855000","957000","898000","701000","312000","389000","22896","11590","11306","1.41","30009","15690","14319","45714","26506","19208","49780","27860","21920","14477","5261","13.9","31.8","-3","109","1485.5","18814","4058393","1246","28412","297","15026","33500","58100","368","2783","39388","555","10316","161554","243","6295","85469","28749","27799","123","5764","79826","26175","12894","4","9","52","3061","944","30328","469","4","6738","1503","65","18","8157","1047","101617","409365","295510","27904","29357","24764","81234","22230","11445","8593","2145","2118725","1442307","227854","444851","162","1714","1399","471","43348","320","46283","6488","307887","67317","21059","23201","9874","12624","12678","56046","13395","29424","62269"
"R09000","栃木県","1992000","989000","1003000","1968000","979000","989000","263000","135000","128000","1266000","654000","612000","463000","200000","262000","15973","8217","7756","1.43","20784","10852","9932","31674","18051","13623","32960","18302","14658","10225","3688","14","33.1","-3.3","113","1668","12962","2243399","1517","35996","167","10570","38100","75000","198","2639","30973","393","7059","109757","174","4283","56245","18903","18196","80","3812","55316","18269","9548","6","9","174","3462","1944","20056","925","82","4167","342","61","32","8004","1059","75555","334506","241116","23837","25024","21208","52019","15328","7758","4954","2153","1517514","985850","231460","266796","91","1422","982","334","29277","25","31522","4874","324779","66330","22473","22883","10635","12614","14511","54783","12481","34368","73703"
"R10000","群馬県","1994000","982000","1012000","1961000","967000","994000","267000","137000","130000","1229000","628000","601000","496000","216000","280000","14914","7569","7345","1.39","21169","11062","10107","27149","15872","11277","28447","16006","12441","9246","3520","14.7","34.3","-1.3","95","1074","11837","2306721","1306","31052","218","11985","32400","62700","209","1869","21895","333","7015","111769","176","4211","58045","19425","18937","82","3897","54133","17653","9029","9","14","165","1688","2040","27021","995","70","5658","532","72","26","9737","1494","68882","292806","242096","20437","20104","17294","49020","12234","6943","3520","1701","1222478","855842","177898","185984","119","1561","963","403","40580","8","43824","5443","275490","65787","12100","21740","10967","12105","10881","37503","8973","26386","69049"
"R11000","埼玉県","7216000","3612000","3604000","7130000","3574000","3555000","940000","482000","458000","4687000","2407000","2280000","1585000","723000","862000","56943","29155","27788","1.29","59137","32440","26697","157961","86369","71592","147663","82078","65585","36776","13434","15.1","35.2","-1.6","101","1079","40384","8481803","747","20972","367","15613","107800","247200","627","7240","115352","822","20142","385264","449","12238","196960","65936","63683","201","11246","177631","57520","32464","14","29","248","4386","4386","117691","1868","72","22820","1366","107","31","19801","2896","210465","949601","479521","35673","42631","27919","240533","60100","18801","19930","21161","5215403","2266154","1978359","960612","296","4114","3437","952","83079","1075","84666","13548","314879","72512","22164","23740","10680","14441","12152","37698","25131","32835","63527"
