"Code","Prefecture","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A410101","A410102","A4103","A4200","A420001","A420002","A5101","A510101","A510102","A5102","A510201","A510202","A9101","A9201","B4101","B4102","B4103","B4106","B4109","C3301","C3302","C3801","C3802","C3803","C3804","C5401","C5403","E1101","E1301","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E3701","E3702","E4101","E4401","E4501","E4601","E4602","E6101","E6102","E6201","E6202","E6301","E6302","E6501","E650110","E6502","E650210","E7101","E7102","E7201","E7202","F3101","F3102","F3103","F3104","F3105","F3106","G5105","H1800","H1801","H1802","H1803","H2600","H2601","H2602","H2603","I510120","I5102","I5103","J2503","J2505","J250502","J2506","J2526","L3221","L322101","L322102","L322103","L322104","L322105","L322106","L322107","L322108","L322109","L322110"
"地域コード","都道府県","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","出生数","出生数（男）","出生数（女）","合計特殊出生率","死亡数","死亡数（男）","死亡数（女）","転入者数（日本人移動者）","転入者数（日本人移動者）（男）","転入者数（日本人移動者）（女）","転出者数（日本人移動者）","転出者数（日本人移動者）（男）","転出者数（日本人移動者）（女）","婚姻件数","離婚件数","年平均気温","最高気温（日最高気温の月平均の最高値）","最低気温（日最低気温の月平均の最低値）","降水日数（年間）","降水量（年間）","着工建築物数","着工建築物床面積","旅館営業施設数","旅館営業施設客室数","ホテル営業施設数","ホテル営業施設客室数","標準価格（平均価格）（住宅地）","標準価格（平均価格）（商業地）","幼稚園数","幼稚園教員数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","中学校卒業者数","中学校卒業者のうち進学者数","高等学校数","高等学校教員数","高等学校生徒数","高等学校卒業者数","高等学校卒業者のうち進学者数","短期大学数","大学数","短期大学教員数","大学教員数","短期大学学生数","大学学生数","短期大学卒業者数","短期大学卒業者のうち進学者数","大学卒業者数","大学卒業者のうち進学者数","専修学校数","各種学校数","専修学校生徒数","各種学校生徒数","新規求職申込件数（一般）","月間有効求職者数（一般）","月間有効求人数（一般）","充足数（一般）","就職件数（一般）","県内就職件数（一般）","一般旅券発行件数","着工新設住宅戸数","着工新設持家数","着工新設貸家数","着工新設分譲住宅数","着工新設住宅床面積","着工新設持家床面積","着工新設分譲住宅床面積","着工新設貸家床面積","一般病院数","一般診療所数","歯科診療所数","保育所等数","保育所等定員数","保育所等利用待機児童数","保育所等在所児数","保育所等保育士数","消費支出（二人以上の世帯）","食料費（二人以上の世帯）","住居費（二人以上の世帯）","光熱・水道費（二人以上の世帯）","家具・家事用品費（二人以上の世帯）","被服及び履物費（二人以上の世帯）","保健医療費（二人以上の世帯）","交通・通信費（二人以上の世帯）","教育費（二人以上の世帯）","教養娯楽費（二人以上の世帯）","その他の消費支出（二人以上の世帯）"
"R25000","滋賀県","1409000","696000","713000","1384000","683000","700000","210000","109000","102000","910000","463000","448000","284000","123000","161000","13151","6725","6426","1.44","11036","5687","5349","28095","16169","11926","27011","16192","10819","7771","2470","15","30.3","1.1","121","1402","7699","1471304","562","14335","123","7785","54700","90500","192","1596","19558","235","5205","87258","107","2988","42412","14439","14019","58","2768","38126","12092","7121","4","8","86","920","1200","33640","583","17","7423","1385","27","12","1948","520","62132","288501","86739","14522","14956","13008","46502","9244","4656","3092","1230","875112","595720","125762","136522","53","975","548","241","25173","411","25466","4034","315298","70987","10033","22830","9855","13689","14334","58735","12827","33260","68749"
"R26000","京都府","2637000","1266000","1371000","2594000","1246000","1348000","346000","177000","169000","1670000","824000","847000","606000","257000","349000","21058","10906","10152","1.2","23191","12013","11178","54863","29832","25031","58464","31998","26466","13640","5054","16.1","32.1","1.7","109","1457.5","9514","2085524","961","31225","180","20065","118100","343700","231","2257","30933","445","8723","140729","204","5224","72024","24405","23480","105","5199","70272","22209","14858","17","31","354","8985","6140","137525","2887","450","29498","4390","64","59","13643","5657","119131","527674","220294","26901","25792","22228","93947","14715","4541","6146","3869","1147963","535151","352325","255080","164","2536","1316","436","45303","278","46487","6239","278307","76026","10616","21360","11038","11527","12903","33953","15418","28334","57133"
"R27000","大阪府","8855000","4284000","4571000","8685000","4204000","4480000","1208000","619000","589000","5655000","2794000","2861000","1938000","846000","1093000","75250","38692","36558","1.28","73135","40067","33068","159651","88653","70998","161924","89651","72273","51689","20737","17.1","32.5","3.3","105","1165","29032","7967852","1253","72723","357","51993","157300","493700","804","7864","125693","1042","26829","498933","532","15773","247972","83085","79447","272","14711","219674","67766","40050","33","55","792","12449","14449","204764","6676","780","43186","4963","239","59","69779","9856","450961","1928430","737002","91247","84849","76699","317728","52039","10938","17636","22430","4373005","1336629","2162983","819173","500","8231","5429","1133","126040","1724","132421","19210","270714","69415","23060","19941","7658","11376","11006","28499","12530","27245","59983"
"R28000","兵庫県","5591000","2677000","2914000","5509000","2639000","2871000","771000","394000","377000","3539000","1730000","1808000","1273000","546000","726000","47592","24332","23260","1.33","48864","25903","22961","97234","53630","43604","97031","53849","43182","29980","10808","17.1","31.4","3.7","99","1197.5","21624","4606979","1799","43886","410","25709","101500","213900","742","4898","72088","824","18506","325442","398","10631","160879","54466","52264","218","10259","142682","45742","27777","19","42","474","6502","8140","111342","3644","485","23391","2361","98","100","16318","9424","233374","1038261","351290","51227","53435","46484","201640","33554","10754","10569","10057","2923835","1345702","981260","502731","319","4936","2947","850","76381","905","80314","10771","283793","73926","14819","19563","8672","14822","11654","37411","12473","33592","56862"
"R29000","奈良県","1404000","665000","738000","1395000","661000","733000","185000","94000","91000","885000","426000","459000","329000","143000","186000","10758","5593","5165","1.23","12139","6408","5731","26387","13743","12644","29271","15591","13680","6584","2612","15.1","31.6","0.1","108","1287","5623","915285","486","9492","56","3531","62400","162200","203","1477","18636","223","4928","79588","119","3023","41878","14280","13995","53","2654","38016","12063","7216","5","10","142","1469","1484","22059","593","121","5011","491","42","38","3301","3755","50929","239366","77637","11196","13523","9824","51139","6163","2777","1330","2053","641981","357803","210798","72988","71","1160","702","175","21485","115","20404","3213","329130","76405","14236","22144","10333","13426","15283","53545","15376","38954","69428"
"R30000","和歌山県","1008000","474000","534000","1003000","472000","531000","129000","66000","63000","607000","294000","312000","268000","111000","158000","7516","3845","3671","1.36","11736","6109","5627","12675","7122","5553","15179","8309","6870","4708","2028","16.9","31.6","2.9","99","1515.5","4602","816049","936","19363","95","4994","42700","95900","116","784","8895","291","3971","56892","142","2511","30826","10470","10258","54","2347","29877","9423","4713","1","3","25","657","333","7230","169","3","1574","327","23","51","2174","3203","38542","161691","68983","11765","12313","11087","25512","4886","2796","1387","658","499678","352939","71172","71782","82","1068","556","216","22709","22","19299","2447","260471","64105","13248","19390","9297","10447","12346","30102","7847","27827","65862"
"R31000","鳥取県","592000","282000","310000","588000","281000","307000","76000","39000","37000","362000","182000","180000","153000","61000","92000","4876","2485","2391","1.46","6636","3391","3245","9870","5604","4266","11723","6584","5139","2758","1150","15","30.1","0.4","134","1851.5","2227","339874","479","11251","58","4224","27100","71600","40","442","4603","149","2532","32762","65","1465","17344","6083","5931","31","1490","17181","5487","2464","1","2","44","778","635","6019","295","32","1343","423","23","14","1840","1335","31359","136760","53409","9577","9934","9131","12572","2057","1104","880","53","199518","149055","5837","43173","41","533","267","187","16410","0","16179","2339","262639","63362","21608","21086","8724","9232","10987","34962","8861","24015","59804"
"R32000","島根県","721000","344000","377000","717000","343000","374000","91000","47000","44000","418000","211000","207000","209000","83000","125000","5601","2891","2710","1.55","8854","4548","4306","11101","6295","4806","13000","7002","5998","3220","1127","15","29.1","0.8","140","1615","2579","451850","525","10940","65","4197","25700","51200","121","585","5267","253","3496","39009","108","1979","20744","7068","6955","49","1839","20523","6697","3331","3","2","70","778","749","6365","308","62","1365","269","20","9","2221","357","30495","133309","67855","10436","10705","9807","11813","2503","1331","959","140","248560","174538","14347","53771","49","751","285","263","18815","97","19969","3144","288821","65735","21649","24108","9550","11661","11864","36336","8216","27275","72428"
"R33000","岡山県","1949000","935000","1014000","1930000","927000","1003000","267000","137000","130000","1191000","591000","600000","483000","203000","280000","16387","8386","8001","1.39","18948","9923","9025","29712","16716","12996","32346","18003","14343","10072","3597","16.6","31.9","1.4","83","1074","8768","1646800","912","23033","162","12232","34600","99200","338","1656","20252","431","7131","112290","174","4157","56989","19215","18508","91","4088","54655","17431","9330","10","16","352","3250","3972","35127","1724","156","7878","1276","58","17","8809","1104","88235","391917","179294","24580","24504","22897","45828","10541","5214","3861","955","960841","660671","92761","193614","159","1623","1005","386","37837","96","39928","5582","286295","61734","20448","21601","10223","13089","12834","42143","12643","28051","63530"
"R34000","広島県","2864000","1383000","1481000","2831000","1367000","1464000","391000","201000","190000","1795000","899000","896000","677000","284000","393000","25596","13157","12439","1.47","26992","14022","12970","49757","29143","20614","52964","30632","22332","15913","5503","16.4","31.9","1.8","85","1486.5","9855","2198284","810","26840","169","15622","57700","179000","324","2326","34187","577","9537","161719","282","5537","82711","28110","26925","135","5627","75600","23777","14627","7","22","204","3944","3134","52489","1489","130","11691","1556","85","32","12364","2599","112729","541080","250206","33184","32362","30362","71290","13742","5519","5576","2550","1238968","696771","263415","271309","223","2642","1547","579","55868","113","54981","7118","315907","71029","22261","23516","10240","14275","12761","39682","15529","31827","74787"
