"Code","Prefecture","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A410101","A410102","A4103","A4200","A420001","A420002","A5101","A510101","A510102","A5102","A510201","A510202","A9101","A9201","B4101","B4102","B4103","B4106","B4109","C3301","C3302","C3801","C3802","C3803","C3804","C5401","C5403","E1101","E1301","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E3701","E3702","E4101","E4401","E4501","E4601","E4602","E6101","E6102","E6201","E6202","E6301","E6302","E6501","E650110","E6502","E650210","E7101","E7102","E7201","E7202","F3101","F3102","F3103","F3104","F3105","F3106","G5105","H1800","H1801","H1802","H1803","H2600","H2601","H2602","H2603","I510120","I5102","I5103","J2503","J2505","J250502","J2506","J2526","L3221","L322101","L322102","L322103","L322104","L322105","L322106","L322107","L322108","L322109","L322110"
"地域コード","都道府県","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","出生数","出生数（男）","出生数（女）","合計特殊出生率","死亡数","死亡数（男）","死亡数（女）","転入者数（日本人移動者）","転入者数（日本人移動者）（男）","転入者数（日本人移動者）（女）","転出者数（日本人移動者）","転出者数（日本人移動者）（男）","転出者数（日本人移動者）（女）","婚姻件数","離婚件数","年平均気温","最高気温（日最高気温の月平均の最高値）","最低気温（日最低気温の月平均の最低値）","降水日数（年間）","降水量（年間）","着工建築物数","着工建築物床面積","旅館営業施設数","旅館営業施設客室数","ホテル営業施設数","ホテル営業施設客室数","標準価格（平均価格）（住宅地）","標準価格（平均価格）（商業地）","幼稚園数","幼稚園教員数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","中学校卒業者数","中学校卒業者のうち進学者数","高等学校数","高等学校教員数","高等学校生徒数","高等学校卒業者数","高等学校卒業者のうち進学者数","短期大学数","大学数","短期大学教員数","大学教員数","短期大学学生数","大学学生数","短期大学卒業者数","短期大学卒業者のうち進学者数","大学卒業者数","大学卒業者のうち進学者数","専修学校数","各種学校数","専修学校生徒数","各種学校生徒数","新規求職申込件数（一般）","月間有効求職者数（一般）","月間有効求人数（一般）","充足数（一般）","就職件数（一般）","県内就職件数（一般）","一般旅券発行件数","着工新設住宅戸数","着工新設持家数","着工新設貸家数","着工新設分譲住宅数","着工新設住宅床面積","着工新設持家床面積","着工新設分譲住宅床面積","着工新設貸家床面積","一般病院数","一般診療所数","歯科診療所数","保育所等数","保育所等定員数","保育所等利用待機児童数","保育所等在所児数","保育所等保育士数","消費支出（二人以上の世帯）","食料費（二人以上の世帯）","住居費（二人以上の世帯）","光熱・水道費（二人以上の世帯）","家具・家事用品費（二人以上の世帯）","被服及び履物費（二人以上の世帯）","保健医療費（二人以上の世帯）","交通・通信費（二人以上の世帯）","教育費（二人以上の世帯）","教養娯楽費（二人以上の世帯）","その他の消費支出（二人以上の世帯）"
"R01000","北海道","5381733","2537089","2844644","5348768","2522980","2825788","608296","310387","297909","3190804","1561879","1628925","1558387","651286","907101","36695","18838","17857","1.31","60667","31391","29276","47584","28603","18981","56446","32734","23712","25465","11211","10","26.4","-4.6","144","1274.5","20268","5008776","2964","108364","679","64189","18000","58900","490","5133","58100","1106","19258","252482","633","12283","135857","45414","44198","286","10691","131682","42836","18561","17","37","306","6715","5272","77760","2471","256","16946","2171","171","54","29996","4500","247779","893513","821367","55940","56428","54309","85840","34329","10904","19539","3608","2864467","1372115","376182","1093954","497","3370","2983","927","74333","182","70802","10805","272124","65912","22201","26068","9253","11984","12381","35895","9302","26930","52197"
"R02000","青森県","1308265","614694","693571","1302132","612113","690019","148208","75661","72547","757867","373796","384071","390940","158837","232103","8621","4400","4221","1.43","17148","8694","8454","17724","10596","7128","24284","13598","10686","5432","2267","11.5","27.9","-2.7","131","1003.5","6333","1147399","768","20684","137","10915","16700","34500","107","672","6533","302","4854","62719","166","3262","36719","12452","12219","80","3093","37409","12242","5342","5","10","153","1300","1643","14736","757","25","3203","257","30","12","2495","291","70454","243951","188078","20839","22136","19992","13298","5826","3363","1824","621","595631","428742","64628","101106","81","889","550","465","33728","0","33174","3813","226214","61805","10343","27941","10105","6888","9631","28664","6719","17920","46196"
"R03000","岩手県","1279594","615584","664010","1272745","613118","659627","150992","77222","73770","734886","373365","361521","386573","160565","226008","8814","4473","4341","1.49","16502","8275","8227","17636","10158","7478","21758","11818","9940","5243","1956","11.6","29.3","-3.8","119","1094","8288","1507568","847","21641","170","11582","24500","46200","113","763","8687","342","5082","63101","171","3187","35404","12081","11889","81","3086","35313","11390","5032","5","5","97","1355","1125","11466","501","56","2457","331","36","7","5266","390","56312","202179","218857","22222","23729","21097","15066","8422","4463","3520","412","806968","564956","41485","198140","76","904","594","361","27961","128","27807","4036","286439","70729","18443","26961","9502","11143","12291","39066","9212","25138","63955"
"R04000","宮城県","2333899","1140167","1193732","2291508","1119800","1171708","286003","146491","139512","1410322","711994","698328","588240","254066","334174","17999","9312","8687","1.36","23070","11840","11230","48315","28223","20092","48391","27930","20461","11317","3987","13.7","29","-0.3","100","1444.5","16765","3377397","815","34118","264","22373","34000","162000","262","2351","30704","404","7928","119806","213","4954","63782","21544","21026","95","4595","61366","19587","9687","4","14","140","4803","2269","47879","825","3","10562","1581","65","21","16339","1631","89046","349698","442610","28932","28804","25574","41685","23921","7780","11593","4453","2108384","1000348","448341","649692","115","1646","1059","370","31789","926","32166","5222","267661","70741","17885","23940","8924","10797","12874","37132","9152","23203","53012"
"R05000","秋田県","1023119","480336","542783","1017149","478034","539115","106041","54137","51904","565237","281593","283644","343301","139825","203476","5861","3044","2817","1.35","14794","7376","7418","11710","6776","4934","16202","8680","7522","3613","1534","12.7","29","-1.3","142","1490.5","5177","855484","590","16208","95","7696","14200","26900","47","387","3481","213","3473","45882","119","2319","25486","8695","8555","57","2246","26299","8695","3876","5","7","62","1046","740","8907","338","8","1916","296","25","4","1630","174","46169","165433","151469","17302","18106","16741","9861","3809","2527","946","317","403402","319350","32713","49334","54","814","442","261","24901","37","23720","3127","249778","64037","13263","25611","9767","9027","10203","33429","4674","22757","57010"
"R06000","山形県","1123891","540226","583665","1116752","538070","578682","135760","69353","66407","639336","322538","316798","344353","145655","198698","7831","3968","3863","1.48","14960","7437","7523","13199","7536","5663","17342","9275","8067","4522","1507","12.7","31","-3.1","131","1027","6167","1048923","853","20225","131","8260","19200","40700","88","855","8885","269","4170","56574","104","2496","31529","10616","10498","62","2581","31225","10204","4576","3","6","85","1106","1240","11287","596","122","2512","474","22","5","1877","150","47855","168639","178242","18168","18802","17483","15962","5414","2991","1787","621","572075","405210","67809","96951","55","936","483","248","22350","0","22296","3266","308953","72514","17739","29919","8745","10060","14602","45015","12286","27205","70869"
"R07000","福島県","1914039","945660","968379","1898880","939391","959489","228887","117321","111566","1120189","579554","540635","542384","233988","308396","14195","7120","7075","1.58","24205","12155","12050","28209","17778","10431","30604","17241","13363","8888","3239","14.2","31.4","-0.6","106","1284","14223","2722016","1642","38353","262","16983","22500","43900","312","2072","21724","467","7116","95952","233","4606","54857","18824","18098","112","4285","53874","17387","7948","5","8","156","1411","1686","13862","794","45","2666","233","55","12","6151","594","73136","258748","358956","27331","27889","25240","31074","16609","7247","7412","1762","1572712","968485","177708","417611","104","1374","856","310","26984","401","26515","4291","321185","73740","15050","27340","12244","12387","12667","50337","6417","28098","82905"
"R08000","茨城県","2916976","1453594","1463382","2862997","1428192","1434805","364351","186926","177425","1747312","900635","846677","771678","346608","425070","21700","11074","10626","1.48","31025","16189","14836","45430","26405","19025","50256","28285","21971","13498","5190","14.8","29.5","-1.1","103","1226.5","17963","3595420","1028","26200","283","14769","32800","65100","292","2149","28413","529","10158","153843","235","6187","82599","27912","27128","120","5714","79077","25475","12867","3","9","53","3230","881","29977","411","0","6687","1512","65","12","10240","742","86308","332931","335282","24431","25886","21704","62948","22528","9557","9136","3310","1993248","1167224","355830","449365","159","1723","1396","531","51841","373","50330","6022","300625","68217","16661","22327","9777","12706","12361","50545","11912","30999","65119"
"R09000","栃木県","1974255","981626","992629","1927885","962176","965709","252836","129488","123348","1203616","621806","581810","508392","224907","283485","15306","7879","7427","1.49","20519","10604","9915","30718","17611","13107","33642","18686","14956","9452","3388","14.9","30.3","-1.6","116","1651","11731","2344210","1459","34906","164","10742","33200","67200","152","2096","22384","379","6983","105105","172","4280","55801","18754","18027","76","3723","54035","17554","9133","6","9","149","3610","1643","19876","820","79","4284","403","60","23","8467","1156","67641","274943","263302","20581","21689","18336","40257","13122","6243","4757","2083","1255833","775546","228425","246991","90","1439","977","372","36077","250","33556","4893","296903","70144","14391","23247","10417","12321","12092","36892","14442","28487","74471"
