"Code","Prefecture","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A410101","A410102","A4103","A4200","A420001","A420002","A5101","A510101","A510102","A5102","A510201","A510202","A9101","A9201","B4101","B4102","B4103","B4106","B4109","C3301","C3302","C3801","C3802","C3803","C3804","C5401","C5403","E1101","E1301","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E3701","E3702","E4101","E4401","E4501","E4601","E4602","E6101","E6102","E6201","E6202","E6301","E6302","E6501","E650110","E6502","E650210","E7101","E7102","E7201","E7202","F3101","F3102","F3103","F3104","F3105","F3106","G5105","H1800","H1801","H1802","H1803","H2600","H2601","H2602","H2603","I510120","I5102","I5103","J2503","J2505","J250502","J2506","J2526","L3221","L322101","L322102","L322103","L322104","L322105","L322106","L322107","L322108","L322109","L322110"
"地域コード","都道府県","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","出生数","出生数（男）","出生数（女）","合計特殊出生率","死亡数","死亡数（男）","死亡数（女）","転入者数（日本人移動者）","転入者数（日本人移動者）（男）","転入者数（日本人移動者）（女）","転出者数（日本人移動者）","転出者数（日本人移動者）（男）","転出者数（日本人移動者）（女）","婚姻件数","離婚件数","年平均気温","最高気温（日最高気温の月平均の最高値）","最低気温（日最低気温の月平均の最低値）","降水日数（年間）","降水量（年間）","着工建築物数","着工建築物床面積","旅館営業施設数","旅館営業施設客室数","ホテル営業施設数","ホテル営業施設客室数","標準価格（平均価格）（住宅地）","標準価格（平均価格）（商業地）","幼稚園数","幼稚園教員数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","中学校卒業者数","中学校卒業者のうち進学者数","高等学校数","高等学校教員数","高等学校生徒数","高等学校卒業者数","高等学校卒業者のうち進学者数","短期大学数","大学数","短期大学教員数","大学教員数","短期大学学生数","大学学生数","短期大学卒業者数","短期大学卒業者のうち進学者数","大学卒業者数","大学卒業者のうち進学者数","専修学校数","各種学校数","専修学校生徒数","各種学校生徒数","新規求職申込件数（一般）","月間有効求職者数（一般）","月間有効求人数（一般）","充足数（一般）","就職件数（一般）","県内就職件数（一般）","一般旅券発行件数","着工新設住宅戸数","着工新設持家数","着工新設貸家数","着工新設分譲住宅数","着工新設住宅床面積","着工新設持家床面積","着工新設分譲住宅床面積","着工新設貸家床面積","一般病院数","一般診療所数","歯科診療所数","保育所等数","保育所等定員数","保育所等利用待機児童数","保育所等在所児数","保育所等保育士数","消費支出（二人以上の世帯）","食料費（二人以上の世帯）","住居費（二人以上の世帯）","光熱・水道費（二人以上の世帯）","家具・家事用品費（二人以上の世帯）","被服及び履物費（二人以上の世帯）","保健医療費（二人以上の世帯）","交通・通信費（二人以上の世帯）","教育費（二人以上の世帯）","教養娯楽費（二人以上の世帯）","その他の消費支出（二人以上の世帯）"
"R01000","北海道","5488000","2593000","2896000","5470000","2585000","2884000","650000","331000","318000","3455000","1685000","1770000","1382000","575000","807000","39292","20010","19282","1.25","56970","30295","26675","51998","30258","21740","54480","31800","22680","26518","11847","9.3","27.9","-6.7","146","1253.5","21130","5026401","3301","112812","679","63293","18900","60000","557","5340","65213","1206","19731","269865","671","12534","144409","48845","47656","300","11287","140711","44846","18016","19","35","397","6526","6243","79970","3075","499","17331","2292","180","55","33306","4895","352134","1289538","576079","70199","70463","68442","107425","31573","11775","15891","3750","2911803","1543924","424279","927322","509","3377","2999","805","64525","996","64281","9921","270689","62996","15211","24787","8258","11604","10997","32204","10590","27054","66989"
"R02000","青森県","1363000","641000","722000","1360000","640000","720000","168000","86000","83000","840000","414000","426000","355000","141000","214000","9531","4772","4759","1.38","16419","8679","7740","20089","11757","8332","23345","13263","10082","5583","2377","10.6","28.4","-4.9","176","1570.5","5504","1158805","906","22094","133","10866","20300","40700","129","834","8835","333","5286","72426","171","3362","40509","13817","13383","85","3334","40878","13253","5457","6","10","181","1305","1935","14848","773","31","3333","294","35","14","2628","581","94204","334875","122773","23525","25389","22652","16435","5085","3059","1696","325","534413","407752","34158","92147","86","903","560","447","30281","0","32577","5116","260743","64734","14803","28662","9103","9856","11112","30439","10641","22516","58878"
"R03000","岩手県","1315000","628000","686000","1310000","627000","683000","165000","85000","81000","791000","398000","393000","358000","145000","213000","9310","4696","4614","1.41","22335","11217","11118","18756","10541","8215","22199","11917","10282","5344","2038","10.5","29.5","-7.3","125","1229","6781","1275929","934","21564","160","10791","26700","53000","145","951","12066","378","5358","70055","189","3326","37709","12714","12556","82","3159","38374","12382","5076","5","5","100","1344","1170","11519","523","73","2275","346","34","8","5945","501","88930","347841","194076","33577","35118","31814","16759","5178","3405","1333","416","554818","438149","42666","72582","77","902","580","321","23913","83","24963","3880","279059","70157","14292","27116","10043","10099","11606","31660","9185","25775","69126"
"R04000","宮城県","2326000","1130000","1196000","2314000","1125000","1189000","303000","156000","148000","1503000","755000","748000","520000","219000","301000","18062","9196","8866","1.25","33975","16986","16989","47662","27493","20169","54064","29713","24351","11409","3826","12.9","29","-2.5","89","1214","13688","2775608","860","31472","251","19073","32800","185400","296","2377","31142","449","8179","125638","224","4918","65063","21834","21369","101","4628","62555","19779","9155","5","14","90","4619","1205","50206","536","8","11210","1635","63","22","18171","1456","131783","588606","376998","38574","38989","34850","44413","14303","7553","3965","2599","1486277","999624","267759","209043","114","1571","1034","224","19700","841","21034","3611","247346","62067","19383","21500","11240","9879","9297","30866","7067","22240","53808"
"R05000","秋田県","1075000","505000","570000","1072000","504000","568000","121000","62000","59000","634000","316000","318000","319000","127000","193000","6658","3400","3258","1.35","14642","7519","7123","13169","7404","5765","15859","8615","7244","4058","1555","11.8","29.5","-3.7","177","1834","5193","944794","632","17065","87","7481","17100","33700","94","767","8120","246","3829","51129","130","2408","28739","9782","9607","59","2427","29264","9441","4245","5","6","94","976","1195","8393","608","51","1796","293","25","5","1789","171","61547","244289","110619","20435","21442","19811","15101","3555","2585","698","249","409708","341898","25506","39076","59","821","449","241","21976","4","22579","3456","288574","65869","17479","25339","11131","10265","12353","38327","11650","26685","69477"
"R06000","山形県","1162000","558000","604000","1156000","556000","600000","147000","76000","72000","693000","350000","343000","321000","131000","189000","8555","4324","4231","1.46","14880","7590","7290","15259","8325","6934","16172","8743","7429","4739","1703","11.8","30.9","-4.5","133","1144.5","5529","978263","971","21454","135","8258","21100","47400","113","1009","11363","323","4474","62119","117","2593","33250","11413","11275","68","2707","33893","10901","5024","3","5","99","1072","1492","11224","763","126","2424","534","21","6","1945","217","62580","244121","139746","21218","21613","20322","19643","4247","2935","1062","242","511489","423251","27899","58940","55","920","482","221","19666","127","19951","3003","282279","66049","17767","28377","8789","9546","11236","36184","12721","26887","64721"
"R07000","福島県","1988000","968000","1020000","1979000","965000","1014000","263000","135000","128000","1225000","625000","600000","502000","207000","294000","15072","7711","7361","1.48","26106","13395","12711","21741","12779","8962","53122","26577","26545","8796","3341","13.3","31.1","-2.8","104","1091.5","8693","1551979","1811","38858","259","15977","21800","47600","355","2321","26715","504","7659","108428","246","4775","59377","20220","19475","112","4598","58962","19100","8230","5","8","167","1210","2359","15508","1130","95","3219","280","54","12","6439","613","105365","417957","255887","34097","35550","32418","33955","8093","5162","2399","500","843266","659556","55347","126277","107","1391","880","255","21113","124","21064","3651","262972","60942","21033","23506","9618","8858","11501","33586","5107","23470","65352"
"R08000","茨城県","2960000","1475000","1485000","2920000","1457000","1464000","394000","202000","192000","1888000","973000","915000","676000","300000","377000","23219","12050","11169","1.39","29910","15985","13925","46329","26795","19534","51080","28231","22849","14381","5079","14.1","30.2","-3.5","102","1498.5","18006","3508578","1341","28885","294","14697","34900","61200","376","2823","39829","564","10338","165441","243","6277","86027","28866","27878","125","5832","80494","25825","13090","4","9","63","3044","1033","30571","513","1","6738","1521","65","18","8027","1208","107300","430054","277691","27846","29480","24992","80621","19932","11242","6385","2193","1983420","1416989","231991","328271","162","1711","1394","456","42187","167","44571","6294","294859","62676","28452","20719","13077","10521","13374","38175","12188","25515","70163"
"R09000","栃木県","2000000","993000","1007000","1975000","982000","993000","267000","137000","130000","1286000","664000","622000","447000","192000","255000","15913","8231","7682","1.38","20469","10797","9672","32071","18262","13809","33485","18385","15100","10069","3654","14.2","31.1","-3.5","98","1619.5","12025","2140459","1563","36409","167","10477","39500","78700","198","2601","31299","393","7010","111167","175","4261","56750","18970","18229","80","3877","55620","17739","9251","6","9","177","3432","2138","20205","1027","99","4309","378","57","32","7966","1040","78015","358554","207592","24726","25590","22326","51412","13096","7306","3679","2063","1352640","934738","217512","197536","91","1411","982","323","27861","96","29660","4412","303256","66343","13839","23083","11504","12196","14113","42051","11007","29387","79732"
