"Code","Prefecture","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A410101","A410102","A4103","A4200","A420001","A420002","A5101","A510101","A510102","A5102","A510201","A510202","A9101","A9201","B4101","B4102","B4103","B4106","B4109","C3301","C3302","C3801","C3802","C3803","C3804","C5401","C5403","E1101","E1301","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E3701","E3702","E4101","E4401","E4501","E4601","E4602","E6101","E6102","E6201","E6202","E6301","E6302","E6501","E650110","E6502","E650210","E7101","E7102","E7201","E7202","F3101","F3102","F3103","F3104","F3105","F3106","G5105","H1800","H1801","H1802","H1803","H2600","H2601","H2602","H2603","I510120","I5102","I5103","J2503","J2505","J250502","J2506","J2526","L3221","L322101","L322102","L322103","L322104","L322105","L322106","L322107","L322108","L322109","L322110"
"地域コード","都道府県","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","出生数","出生数（男）","出生数（女）","合計特殊出生率","死亡数","死亡数（男）","死亡数（女）","転入者数（日本人移動者）","転入者数（日本人移動者）（男）","転入者数（日本人移動者）（女）","転出者数（日本人移動者）","転出者数（日本人移動者）（男）","転出者数（日本人移動者）（女）","婚姻件数","離婚件数","年平均気温","最高気温（日最高気温の月平均の最高値）","最低気温（日最低気温の月平均の最低値）","降水日数（年間）","降水量（年間）","着工建築物数","着工建築物床面積","旅館営業施設数","旅館営業施設客室数","ホテル営業施設数","ホテル営業施設客室数","標準価格（平均価格）（住宅地）","標準価格（平均価格）（商業地）","幼稚園数","幼稚園教員数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","中学校卒業者数","中学校卒業者のうち進学者数","高等学校数","高等学校教員数","高等学校生徒数","高等学校卒業者数","高等学校卒業者のうち進学者数","短期大学数","大学数","短期大学教員数","大学教員数","短期大学学生数","大学学生数","短期大学卒業者数","短期大学卒業者のうち進学者数","大学卒業者数","大学卒業者のうち進学者数","専修学校数","各種学校数","専修学校生徒数","各種学校生徒数","新規求職申込件数（一般）","月間有効求職者数（一般）","月間有効求人数（一般）","充足数（一般）","就職件数（一般）","県内就職件数（一般）","一般旅券発行件数","着工新設住宅戸数","着工新設持家数","着工新設貸家数","着工新設分譲住宅数","着工新設住宅床面積","着工新設持家床面積","着工新設分譲住宅床面積","着工新設貸家床面積","一般病院数","一般診療所数","歯科診療所数","保育所等数","保育所等定員数","保育所等利用待機児童数","保育所等在所児数","保育所等保育士数","消費支出（二人以上の世帯）","食料費（二人以上の世帯）","住居費（二人以上の世帯）","光熱・水道費（二人以上の世帯）","家具・家事用品費（二人以上の世帯）","被服及び履物費（二人以上の世帯）","保健医療費（二人以上の世帯）","交通・通信費（二人以上の世帯）","教育費（二人以上の世帯）","教養娯楽費（二人以上の世帯）","その他の消費支出（二人以上の世帯）"
"R01000","北海道","5605000","2661000","2944000","5589000","2654000","2935000","704000","359000","345000","3656000","1776000","1879000","1241000","522000","719000","42204","21899","20305","1.18","50229","27519","22710","52600","31553","21047","70986","43070","27916","30210","13182","9.1","28.8","-6.8","143","1145.5","26663","7575052","3666","113906","628","57274","23300","58800","572","5153","69274","1371","19902","292704","708","12671","156550","53333","52059","330","12108","155140","51010","19579","22","36","541","6324","8608","82570","4241","776","18078","2255","184","77","37498","5939","385156","1537175","830159","156413","161880","157009","116318","49946","13411","29520","6631","4311819","1868078","741004","1671910","543","3366","3055","830","64046","638","64025","8992","289261","61090","34551","24109","7628","12327","11223","37406","9414","28579","62933"
"R02000","青森県","1424000","672000","752000","1420000","671000","749000","192000","98000","94000","899000","441000","458000","331000","132000","199000","10556","5301","5255","1.31","14733","7955","6778","21063","12574","8489","30528","17658","12870","6642","3044","10.2","29","-4.4","158","1422.5","7886","1684256","1015","21407","118","9106","24500","55500","140","895","11468","380","5754","82982","176","3460","44627","15237","14771","90","3555","44221","14693","5859","6","9","151","1222","1707","15366","831","35","3481","333","36","18","2571","960","120033","402818","143236","23322","27098","22758","19379","7637","4330","2795","429","847612","627076","47004","168395","94","976","580","487","33162","141","35598","5221","273732","68275","14976","30443","9876","12598","11332","32023","5435","24606","64168"
"R03000","岩手県","1375000","658000","717000","1370000","657000","713000","185000","95000","90000","844000","422000","421000","346000","141000","206000","10556","5325","5231","1.39","14552","7680","6872","19824","11245","8579","25697","14348","11349","6458","2391","10.2","30","-6.7","120","1142.5","9061","1897446","1077","23223","158","9717","32600","73700","157","1017","14821","437","5729","77456","202","3412","42285","14576","14311","92","3417","42844","14142","5293","6","5","121","1286","1485","11413","680","68","2595","421","36","10","5747","554","80624","289008","201934","29035","31330","27686","22052","9115","4210","3755","1062","907909","599241","102584","198814","87","925","595","345","24832","79","26566","3644","293647","69321","15376","25612","8716","12629","12306","38359","12624","27209","71493"
"R04000","宮城県","2358000","1147000","1211000","2346000","1142000","1204000","323000","165000","158000","1549000","777000","772000","482000","202000","280000","19706","10041","9665","1.25","19796","10676","9120","50902","29065","21837","55863","32265","23598","13035","4757","12.3","28.5","-2.5","107","1599.5","13734","3576385","982","30920","247","16822","40200","172600","318","2336","35554","465","8284","132876","233","4904","68399","23416","22891","110","5036","69137","22941","9758","5","14","85","4225","1637","48350","810","49","10887","1635","70","32","24511","1857","112110","436674","378817","32165","32314","29308","53642","23142","6238","12098","4689","1938291","880462","489586","553255","122","1587","1048","327","26029","821","26793","4211","289537","67750","19415","24945","8899","13689","13637","29645","11212","33231","67114"
"R05000","秋田県","1134000","535000","599000","1131000","534000","597000","138000","70000","67000","685000","340000","345000","311000","124000","187000","7726","3999","3727","1.34","13558","7191","6367","13725","7887","5838","19539","10853","8686","4785","1899","11.9","31","-3.3","175","1477","7631","1527585","721","17907","84","7315","22200","50400","104","791","10057","290","4256","59420","135","2520","32294","10987","10732","63","2647","32984","11014","4590","8","5","147","911","1603","8206","790","91","1677","272","31","6","2239","274","72359","258975","126528","19663","21147","19196","16689","7237","3597","2639","731","729357","521971","71860","124543","62","808","473","239","20715","194","21978","3010","320891","70059","21157","26960","9182","13386","11924","31572","11202","33793","91656"
"R06000","山形県","1207000","580000","627000","1201000","579000","622000","162000","83000","79000","733000","370000","363000","313000","127000","185000","9513","4861","4652","1.45","13231","7026","6205","15565","8875","6690","20239","11189","9050","5661","2036","11.7","31.5","-5","138","1526","7836","1517452","1094","22916","133","7753","27200","59300","119","1054","13556","352","4715","67805","130","2753","36659","12689","12482","68","2913","38233","12960","5713","3","4","106","986","1761","11331","875","128","2551","568","23","8","2103","254","62169","224545","190535","22009","23034","21544","23689","6944","3662","2696","530","776164","587556","58460","124864","56","924","465","232","19533","289","20092","2579","323963","71857","19894","28846","9521","14878","14950","43459","15565","30816","74177"
"R07000","福島県","2080000","1011000","1069000","2070000","1008000","1063000","301000","154000","147000","1296000","658000","638000","482000","198000","284000","17541","8951","8590","1.49","20528","10989","9539","28296","16172","12124","36081","19826","16255","10512","4152","13","31.5","-2.4","106","1489.5","12480","2482365","2047","40155","245","14214","26800","60500","373","2381","33327","555","8325","125483","246","5032","67340","23127","22211","115","4973","66546","22209","9133","5","8","167","1126","2834","15896","1359","132","3426","245","56","15","6463","700","91773","327914","262984","28494","29780","27592","43894","12891","6887","4707","1255","1293588","945388","126909","218515","124","1463","903","306","25490","226","26425","3842","290008","66976","19847","25601","8635","12137","11245","32972","9658","27897","75041"
"R08000","茨城県","2974000","1480000","1494000","2936000","1462000","1474000","416000","214000","202000","1961000","1006000","955000","595000","259000","336000","25128","12911","12217","1.35","26061","14108","11953","53420","30990","22430","55577","31200","24377","16029","5877","13.9","29.7","-3.2","108","1671.5","21947","5095216","1509","29179","267","12826","41000","72700","405","3021","44538","580","10285","173428","245","6236","90037","30452","29422","135","6286","86430","28522","14049","7","9","110","2896","2252","30661","1063","47","6682","1473","66","27","8380","1417","96072","365222","304417","26243","28276","24355","89420","28198","12710","9464","5930","2725244","1676049","600890","439805","181","1696","1358","448","39732","357","42540","5603","313736","66302","21161","21534","8573","15263","12906","46165","13341","33410","75084"
"R09000","栃木県","2016000","1002000","1015000","1990000","989000","1000000","282000","145000","138000","1331000","686000","645000","402000","171000","231000","17647","9099","8548","1.4","17947","9743","8204","36333","20996","15337","37518","21010","16508","11331","4083","14.2","31","-3.2","112","1695.5","15512","3435523","1847","37447","150","8113","45300","99000","206","2526","33679","421","7099","114747","179","4298","59642","20452","19615","88","4268","61753","20719","10468","7","9","209","2880","2856","21007","1341","132","4473","455","64","38","9241","1131","67165","265437","343298","23068","23052","20696","56451","21457","9001","8732","3590","2021086","1223659","363506","426128","97","1399","976","342","28165","106","30981","4517","317926","70844","14202","24014","10067","14911","14336","42648","10710","34274","81920"
