"Code","Prefecture","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A410101","A410102","A4103","A4200","A420001","A420002","A5101","A510101","A510102","A5102","A510201","A510202","A9101","A9201","B4101","B4102","B4103","B4106","B4109","C3301","C3302","C3801","C3802","C3803","C3804","C5401","C5403","E1101","E1301","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E3701","E3702","E4101","E4401","E4501","E4601","E4602","E6101","E6102","E6201","E6202","E6301","E6302","E6501","E650110","E6502","E650210","E7101","E7102","E7201","E7202","F3101","F3102","F3103","F3104","F3105","F3106","G5105","H1800","H1801","H1802","H1803","H2600","H2601","H2602","H2603","I510120","I5102","I5103","J2503","J2505","J250502","J2506","J2526","L3221","L322101","L322102","L322103","L322104","L322105","L322106","L322107","L322108","L322109","L322110"
"地域コード","都道府県","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","出生数","出生数（男）","出生数（女）","合計特殊出生率","死亡数","死亡数（男）","死亡数（女）","転入者数（日本人移動者）","転入者数（日本人移動者）（男）","転入者数（日本人移動者）（女）","転出者数（日本人移動者）","転出者数（日本人移動者）（男）","転出者数（日本人移動者）（女）","婚姻件数","離婚件数","年平均気温","最高気温（日最高気温の月平均の最高値）","最低気温（日最低気温の月平均の最低値）","降水日数（年間）","降水量（年間）","着工建築物数","着工建築物床面積","旅館営業施設数","旅館営業施設客室数","ホテル営業施設数","ホテル営業施設客室数","標準価格（平均価格）（住宅地）","標準価格（平均価格）（商業地）","幼稚園数","幼稚園教員数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","中学校卒業者数","中学校卒業者のうち進学者数","高等学校数","高等学校教員数","高等学校生徒数","高等学校卒業者数","高等学校卒業者のうち進学者数","短期大学数","大学数","短期大学教員数","大学教員数","短期大学学生数","大学学生数","短期大学卒業者数","短期大学卒業者のうち進学者数","大学卒業者数","大学卒業者のうち進学者数","専修学校数","各種学校数","専修学校生徒数","各種学校生徒数","新規求職申込件数（一般）","月間有効求職者数（一般）","月間有効求人数（一般）","充足数（一般）","就職件数（一般）","県内就職件数（一般）","一般旅券発行件数","着工新設住宅戸数","着工新設持家数","着工新設貸家数","着工新設分譲住宅数","着工新設住宅床面積","着工新設持家床面積","着工新設分譲住宅床面積","着工新設貸家床面積","一般病院数","一般診療所数","歯科診療所数","保育所等数","保育所等定員数","保育所等利用待機児童数","保育所等在所児数","保育所等保育士数","消費支出（二人以上の世帯）","食料費（二人以上の世帯）","住居費（二人以上の世帯）","光熱・水道費（二人以上の世帯）","家具・家事用品費（二人以上の世帯）","被服及び履物費（二人以上の世帯）","保健医療費（二人以上の世帯）","交通・通信費（二人以上の世帯）","教育費（二人以上の世帯）","教養娯楽費（二人以上の世帯）","その他の消費支出（二人以上の世帯）"
"R01000","北海道","5352000","2521000","2830000","5327000","2511000","2816000","600000","306000","294000","3150000","1545000","1605000","1602000","670000","932000","35125","17888","17237","1.29","61906","32072","29834","48544","29032","19512","55418","31974","23444","24636","10476","9.3","28.3","-5.9","152","1360","21294","5286695","2891","107973","673","64875","18300","62800","459","4991","54361","1074","19066","248124","622","12159","134328","45568","44298","284","10598","129006","42484","18897","17","37","292","6726","5150","77556","2444","250","17198","2173","171","54","28512","4181","228449","827073","839594","51494","52194","50088","98811","37515","11312","21810","4018","3080563","1421197","430776","1201056","493","3380","2968","908","73405","94","70119","10202","287325","69445","17071","24438","9533","11106","12431","43681","10751","29305","59564"
"R02000","青森県","1293000","608000","686000","1290000","606000","683000","145000","74000","71000","748000","370000","377000","401000","164000","238000","8626","4380","4246","1.48","17309","8777","8532","17061","10203","6858","23384","12901","10483","5135","2164","11","28.7","-3","170","1389.5","6704","1214427","704","20380","136","11433","16400","33900","100","711","6013","293","4770","60644","165","3250","35505","12357","12136","80","3078","36620","12094","5385","5","10","147","1332","1429","14972","683","18","3432","271","29","11","2367","302","63536","218954","209505","19427","20773","18742","14904","6513","3670","2346","471","648888","467813","49208","128824","80","884","548","464","34434","0","33236","3416","236801","69202","9368","26793","9614","7771","9884","30923","5689","18255","49302"
"R03000","岩手県","1268000","610000","658000","1263000","609000","654000","147000","75000","72000","726000","370000","356000","395000","165000","230000","8341","4296","4045","1.45","16959","8459","8500","17113","9842","7271","20983","11375","9608","4872","1877","11.2","30.5","-3.6","124","1318","8138","1380149","837","21789","174","12027","24700","45900","106","732","7810","334","4979","61184","167","3111","34239","11839","11630","80","3067","35110","11558","5034","5","5","97","1371","1118","11278","518","91","2408","356","36","7","5143","425","52561","189671","225437","20999","22549","20007","15156","7974","4361","3029","476","745606","538905","47244","153201","78","898","592","368","28888","194","28156","4019","288989","71061","14922","25048","10591","10948","14803","42315","7422","26790","65088"
"R04000","宮城県","2330000","1139000","1191000","2314000","1131000","1182000","285000","146000","139000","1429000","725000","703000","616000","267000","349000","17347","8903","8444","1.34","23426","11948","11478","47124","27464","19660","47607","27366","20241","11127","3783","13.5","29.9","-0.8","90","1209","16320","3108281","806","34249","262","22511","35800","176400","254","2382","30646","399","7888","118204","213","4985","62855","21395","20772","95","4556","61345","19806","9749","4","14","142","4942","2384","48006","1017","9","10888","1591","64","22","15854","1637","82661","320017","457000","26665","26524","23445","45782","21295","7467","9895","3779","1864588","961700","390338","501403","113","1662","1069","400","34154","638","33872","5567","281024","74103","18144","21904","11118","11467","14306","36451","9409","29024","55098"
"R05000","秋田県","1010000","474000","536000","1007000","473000","533000","104000","53000","51000","555000","278000","278000","351000","144000","207000","5666","2841","2825","1.39","15244","7418","7826","11353","6548","4805","15751","8444","7307","3510","1393","12.5","31.4","-1.7","171","1795.5","5144","822979","577","16072","97","7779","13800","26100","41","384","3065","202","3391","44909","117","2291","24714","8570","8424","55","2199","25530","8524","3858","4","7","60","1048","733","8986","382","16","2061","317","24","4","1597","166","41560","149963","155278","16014","16624","15438","11341","4205","2672","1126","393","439131","333439","39275","63691","53","809","445","272","25821","33","23810","3300","255168","65222","13734","24558","9318","7894","13740","35342","8317","21275","55768"
"R06000","山形県","1113000","536000","578000","1107000","534000","573000","133000","68000","65000","629000","318000","311000","351000","150000","202000","7547","3886","3661","1.47","15181","7403","7778","12921","7241","5680","16560","8932","7628","4284","1522","12.7","31.4","-2.1","129","1243.5","6333","1184170","835","19955","131","8202","19300","40800","81","797","8229","262","4085","55152","101","2414","30544","10558","10453","62","2559","30861","10073","4564","3","6","87","1087","1229","11425","610","127","2546","540","21","5","1839","144","44668","156827","189136","17128","17664","16447","17488","5517","3035","1808","644","577188","406406","69332","95424","55","934","486","261","23292","0","22850","3268","333408","76545","17557","27016","11725","11708","14860","54222","10730","27049","81996"
"R07000","福島県","1901000","941000","960000","1891000","937000","954000","225000","115000","110000","1115000","581000","534000","560000","244000","316000","13744","6995","6749","1.59","24166","12032","12134","25505","15854","9651","31344","17925","13419","8682","3278","14.2","31.6","-0.6","95","1172","14168","2656560","1623","39813","260","17617","23000","44400","293","2039","20755","461","7049","93675","232","4530","53377","18482","17701","112","4270","53279","17607","8036","5","8","151","1417","1711","14053","786","39","2935","277","55","12","6188","517","72697","255862","349702","25967","26654","24077","34402","17757","7013","8383","2147","1586049","916070","217942","437816","105","1370","863","310","26692","462","26185","3889","294313","72298","14612","24476","10391","10612","11772","46317","8553","27350","67933"
"R08000","茨城県","2905000","1448000","1457000","2861000","1427000","1435000","361000","185000","176000","1743000","902000","840000","801000","360000","441000","20878","10710","10168","1.47","31414","16337","15077","45166","26248","18918","48875","27485","21390","13201","4816","14.8","30.5","-1","98","1426","18263","3654292","996","26295","288","15400","32500","64600","283","2122","26657","509","9977","150439","234","6141","80811","27565","26635","120","5734","78884","25284","12764","3","9","53","3194","900","30146","437","1","6763","1485","66","12","10318","660","79718","313031","351397","22716","24339","20162","70525","22805","9606","9517","3468","2013967","1171748","367877","465876","158","1713","1402","531","52351","382","50754","6056","299070","67893","17267","21951","10582","11543","10669","51061","9868","27524","70712"
"R09000","栃木県","1966000","978000","988000","1939000","965000","973000","249000","128000","121000","1192000","617000","575000","525000","233000","292000","14621","7624","6997","1.46","21436","10953","10483","29760","17076","12684","32748","18286","14462","9321","3429","14.8","31.4","-1.6","108","1591.5","11811","2347944","1437","34901","164","10735","32900","66600","131","1901","19398","375","6995","103747","171","4268","55235","18775","18077","76","3698","53802","17493","9063","6","9","146","3731","1569","19594","746","48","4233","425","60","21","8444","1148","65199","262445","284311","19149","20344","17086","45045","14602","6289","5446","2717","1367402","775774","297249","287681","89","1429","984","373","36314","155","34458","4751","279319","71447","13805","21724","9819","10839","14230","35521","12461","26372","63104"
