"Code","Prefecture","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A410101","A410102","A4103","A4200","A420001","A420002","A5101","A510101","A510102","A5102","A510201","A510202","A9101","A9201","B4101","B4102","B4103","B4106","B4109","C3301","C3302","C3801","C3802","C3803","C3804","C5401","C5403","E1101","E1301","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E3701","E3702","E4101","E4401","E4501","E4601","E4602","E6101","E6102","E6201","E6202","E6301","E6302","E6501","E650110","E6502","E650210","E7101","E7102","E7201","E7202","F3101","F3102","F3103","F3104","F3105","F3106","G5105","H1800","H1801","H1802","H1803","H2600","H2601","H2602","H2603","I510120","I5102","I5103","J2503","J2505","J250502","J2506","J2526","L3221","L322101","L322102","L322103","L322104","L322105","L322106","L322107","L322108","L322109","L322110"
"地域コード","都道府県","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","出生数","出生数（男）","出生数（女）","合計特殊出生率","死亡数","死亡数（男）","死亡数（女）","転入者数（日本人移動者）","転入者数（日本人移動者）（男）","転入者数（日本人移動者）（女）","転出者数（日本人移動者）","転出者数（日本人移動者）（男）","転出者数（日本人移動者）（女）","婚姻件数","離婚件数","年平均気温","最高気温（日最高気温の月平均の最高値）","最低気温（日最低気温の月平均の最低値）","降水日数（年間）","降水量（年間）","着工建築物数","着工建築物床面積","旅館営業施設数","旅館営業施設客室数","ホテル営業施設数","ホテル営業施設客室数","標準価格（平均価格）（住宅地）","標準価格（平均価格）（商業地）","幼稚園数","幼稚園教員数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","中学校卒業者数","中学校卒業者のうち進学者数","高等学校数","高等学校教員数","高等学校生徒数","高等学校卒業者数","高等学校卒業者のうち進学者数","短期大学数","大学数","短期大学教員数","大学教員数","短期大学学生数","大学学生数","短期大学卒業者数","短期大学卒業者のうち進学者数","大学卒業者数","大学卒業者のうち進学者数","専修学校数","各種学校数","専修学校生徒数","各種学校生徒数","新規求職申込件数（一般）","月間有効求職者数（一般）","月間有効求人数（一般）","充足数（一般）","就職件数（一般）","県内就職件数（一般）","一般旅券発行件数","着工新設住宅戸数","着工新設持家数","着工新設貸家数","着工新設分譲住宅数","着工新設住宅床面積","着工新設持家床面積","着工新設分譲住宅床面積","着工新設貸家床面積","一般病院数","一般診療所数","歯科診療所数","保育所等数","保育所等定員数","保育所等利用待機児童数","保育所等在所児数","保育所等保育士数","消費支出（二人以上の世帯）","食料費（二人以上の世帯）","住居費（二人以上の世帯）","光熱・水道費（二人以上の世帯）","家具・家事用品費（二人以上の世帯）","被服及び履物費（二人以上の世帯）","保健医療費（二人以上の世帯）","交通・通信費（二人以上の世帯）","教育費（二人以上の世帯）","教養娯楽費（二人以上の世帯）","その他の消費支出（二人以上の世帯）"
"R01000","北海道","5410000","2551000","2859000","5390000","2543000","2847000","621000","316000","304000","3261000","1595000","1666000","1519000","633000","885000","37058","19010","18048","1.27","60018","31333","28685","46554","27741","18813","55496","32085","23411","26018","11003","9.3","27","-7.4","144","1203.5","19936","5002609","3080","109365","689","63674","18100","57700","542","5571","64743","1127","19335","256601","641","12318","137026","45886","44790","290","10909","134616","43567","18448","17","37","309","6681","5434","77917","2608","266","16925","2142","175","56","31388","5039","270617","958243","788728","59225","59954","57662","88179","32225","10604","17809","3586","2762202","1347232","396378","998698","499","3377","2978","852","68980","473","68452","10681","285154","65450","22611","27824","9061","12007","11702","36067","9160","27168","64105"
"R02000","青森県","1323000","622000","701000","1320000","620000","699000","155000","79000","76000","784000","388000","396000","383000","154000","229000","8853","4508","4345","1.42","17042","8856","8186","17792","10622","7170","24252","13594","10658","5481","2195","10.7","27.8","-4.4","158","1483.5","6086","1132021","823","21107","139","10907","17100","35400","119","755","7946","310","4921","64876","168","3272","37540","12666","12431","82","3163","38266","12547","5517","5","10","151","1314","1731","14635","771","16","3283","248","31","12","2500","328","77139","267573","176531","22318","24002","21550","13559","5530","3353","1735","436","581210","438073","44096","98394","81","895","555","448","30765","0","33107","5167","243627","63139","9693","30606","9222","8087","12354","32782","4986","19572","53187"
"R03000","岩手県","1290000","620000","670000","1285000","618000","667000","156000","80000","76000","749000","378000","370000","380000","156000","224000","8803","4536","4267","1.44","16274","8266","8008","17845","10244","7601","21045","11568","9477","5482","1855","10.6","28.8","-5.8","133","1280","8188","1610262","859","21594","168","11413","24300","46400","141","956","11709","347","5093","64512","172","3235","36137","12083","11937","81","3091","35879","11705","4991","5","5","100","1365","1164","11610","550","77","2467","400","34","8","5547","479","62898","225517","221324","25165","26738","24016","16443","9006","4433","3847","643","860473","562547","66024","224906","76","902","594","350","26018","193","26681","4229","273964","68915","22237","28701","9363","11393","11924","37866","7110","23066","53390"
"R04000","宮城県","2335000","1140000","1195000","2322000","1134000","1188000","297000","152000","145000","1458000","736000","722000","573000","246000","327000","18069","9385","8684","1.3","22854","11752","11102","48951","28517","20434","46514","26987","19527","11765","3824","12.8","28.6","-2.1","107","1416.5","16441","3654612","816","33710","261","22038","32800","153200","280","2516","33017","409","7957","121076","215","4930","64499","21570","21049","98","4573","61583","19825","9668","4","14","132","4791","1955","48335","697","6","11031","1565","65","22","16941","1712","94822","368142","437644","31901","31781","28267","43425","24476","7438","12356","4271","2139262","966829","428217","723776","115","1626","1054","347","29290","978","30519","5139","287881","71623","19657","25403","9762","12595","12309","39184","9542","27761","60045"
"R05000","秋田県","1037000","487000","550000","1034000","486000","548000","112000","57000","55000","587000","293000","294000","339000","137000","202000","5998","3098","2900","1.34","15096","7535","7561","11626","6635","4991","16049","8670","7379","3842","1444","12","28.7","-2.9","177","1737.5","5147","856050","600","16266","94","7684","14700","28100","90","710","7153","224","3581","46982","123","2329","26437","9101","8949","57","2281","26926","8899","3952","5","7","61","1054","801","8771","433","23","1862","302","25","4","1685","174","49657","179447","141530","18601","19617","18035","10693","3951","2515","1108","317","426806","330503","32116","62488","56","822","444","246","22828","53","22501","3480","266560","63825","12323","28320","10260","9980","10832","41837","6056","24787","58340"
"R06000","山形県","1134000","545000","589000","1129000","543000","585000","139000","71000","68000","653000","330000","323000","338000","142000","197000","7966","4049","3917","1.47","15032","7351","7681","13316","7603","5713","16889","9070","7819","4699","1670","11.8","30.2","-3.7","146","1336.5","5547","1028688","884","20591","132","8257","19300","41100","107","987","10800","276","4220","57993","106","2510","31949","10684","10546","62","2625","31945","10632","4793","3","6","90","1099","1272","11296","643","112","2577","517","22","5","1928","135","49421","178874","192962","19039","19527","18193","17174","4641","2636","1491","488","497735","359490","53850","81565","55","932","486","234","20929","0","21239","3367","308555","71496","17486","31070","9835","11368","13229","49012","10208","25480","69371"
"R07000","福島県","1927000","948000","979000","1919000","946000","974000","241000","124000","117000","1157000","593000","564000","537000","227000","310000","14517","7436","7081","1.58","23495","11929","11566","27056","17097","9959","29267","16209","13058","8711","3165","13.3","30.5","-2.3","115","1365.5","13317","2628855","1659","38376","258","16585","21600","43500","342","2346","25167","477","7201","98037","238","4693","56140","18929","18115","111","4365","54952","17847","7897","5","8","155","1352","1723","14038","799","80","3076","234","55","12","6212","626","75848","264472","365510","29633","30047","27382","32793","14221","7199","5713","1220","1412714","954917","129155","319509","105","1366","860","301","25112","180","25325","4382","288589","66774","15916","28682","10353","9692","9722","43689","10996","24172","68593"
"R08000","茨城県","2927000","1458000","1469000","2887000","1439000","1448000","376000","193000","183000","1789000","924000","865000","754000","338000","416000","21873","11197","10676","1.43","30341","15905","14436","44018","25309","18709","48867","27562","21305","13800","4955","14.2","30.3","-2.6","99","1471","17362","3636781","1072","26868","289","14888","32800","65900","363","2713","37426","538","10158","156106","238","6192","83909","28354","27500","121","5710","79089","25563","12679","3","9","51","3134","890","30017","440","3","6890","1480","66","13","9370","751","91142","353158","331880","25840","27203","22782","63639","21946","9400","8348","4162","2028900","1164996","431744","426885","161","1722","1400","497","45979","227","48009","6763","286262","66020","15212","24097","9925","10602","11791","46610","13170","26698","62136"
"R09000","栃木県","1980000","984000","996000","1955000","973000","982000","257000","132000","125000","1225000","634000","591000","498000","218000","279000","15442","7963","7479","1.46","20755","10864","9891","30542","17713","12829","32337","18015","14322","9770","3322","14.2","30.7","-3.1","104","1763.5","11803","2284533","1463","34774","166","10790","33500","68000","195","2711","29725","380","6977","106562","174","4243","56011","18512","17820","76","3754","54446","17491","9094","6","9","155","3589","1800","19863","855","76","4306","372","58","24","8296","1257","73191","295732","253120","21821","23098","19483","41059","13479","6264","4692","2421","1297222","784835","257233","247667","91","1424","980","339","30386","66","32471","5125","329193","74318","18503","25532","11897","13975","15398","56410","12467","31644","69050"
"R10000","群馬県","1979000","975000","1004000","1945000","959000","986000","258000","132000","126000","1189000","609000","580000","529000","232000","297000","14522","7515","7007","1.44","21441","11127","10314","26519","15647","10872","28769","16255","12514","9089","3312","14.9","31.2","-1.1","90","1395.5","12215","2474555","1260","30014","221","12014","30900","59600","205","1851","20861","325","6961","107500","175","4210","57463","19255","18826","81","3861","53421","17441","9085","8","13","146","1695","2058","26946","957","75","6082","540","69","25","10123","1575","57565","229441","226462","17901","18443","15591","38939","11562","6305","3342","1871","1143476","764176","199729","177700","116","1555","978","390","39552","0","42185","5252","298658","67960","11631","20918","10699","13229","10078","53476","8961","29980","71726"
"R11000","埼玉県","7247000","3621000","3626000","7151000","3579000","3572000","929000","476000","452000","4573000","2353000","2220000","1737000","792000","945000","55765","28703","27062","1.31","61269","33287","27982","157553","86265","71288","142644","79128","63516","35218","12484","15.3","31.7","-1.2","90","1387.5","37262","7371064","718","21247","362","15898","104800","243500","625","7277","112823","820","20260","378894","451","12298","196228","65547","63377","196","11142","178511","57093","32658","13","29","255","4438","4615","116750","1996","66","22911","1415","110","28","20051","2707","174829","767482","519034","32869","39179","25774","198806","55449","15862","20796","18541","4644213","1896178","1768829","960600","292","4148","3502","986","86046","905","87784","14381","329448","78388","22771","25347","13310","16120","13097","44549","21754","36960","57152"
"R12000","千葉県","6209000","3089000","3119000","6125000","3054000","3071000","778000","399000","379000","3848000","1972000","1877000","1571000","712000","859000","46749","23991","22758","1.32","53975","28943","25032","137199","76305","60894","128835","71681","57154","30578","10642","16.3","30.8","2","101","1495.5","29458","6903969","1377","51555","174","28744","71100","205700","563","5702","91277","830","18227","323173","407","10900","165446","55334","53943","185","9635","152666","49065","27192","10","27","220","3761","3705","100806","1761","166","21746","2522","98","18","17879","578","135257","624326","482584","28246","35429","23672","179625","44998","12316","16619","15986","3810980","1479990","1540384","783800","250","3710","3217","802","79915","1251","82649","11595","299210","74859","16722","22151","11241","12026","13858","43115","12232","31921","61085"
"R13000","東京都","13399000","6612000","6788000","13049000","6447000","6602000","1517000","776000","741000","8862000","4531000","4331000","3011000","1301000","1710000","110629","56541","54088","1.15","111023","58865","52158","404736","214691","190045","331456","181607","149849","87000","23653","16.6","31.2","2.5","106","1808","50685","15165430","1869","143848","675","98644","317000","1445700","1023","11167","170673","1355","32658","587983","817","19491","311841","104164","101068","431","19059","316058","100635","67159","43","139","919","50040","15568","651905","7070","1310","151880","15171","409","157","144840","22233","395492","1809922","2448814","120679","89276","75679","531802","140430","17348","59921","61170","9432825","2032318","4745549","2524946","592","12780","10579","1868","188319","8672","188888","31994","324999","82178","26834","23744","11710","15671","15648","35849","13984","38221","61161"
"R14000","神奈川県","9103000","4551000","4552000","8967000","4489000","4478000","1161000","595000","567000","5820000","3009000","2811000","2115000","945000","1170000","72996","37565","35431","1.31","74387","40411","33976","203866","111968","91898","191011","107756","83255","48851","16004","16.2","30.5","2.5","103","1860","37261","7894637","1416","48752","331","30462","171800","423200","720","8577","137910","889","24895","468512","478","14634","236462","78931","75242","235","12448","205223","64590","39834","16","29","356","5167","7095","178405","3104","283","35353","3630","110","14","25289","3136","211532","944627","718566","36720","42566","29624","306468","68314","14323","28224","24993","5126117","1668209","2137133","1257990","294","6556","4920","1225","110806","1079","114408","17997","298009","75160","19306","22599","10168","12889","16291","37880","13330","33222","57165"
"R15000","新潟県","2320000","1123000","1198000","2309000","1119000","1190000","282000","145000","137000","1359000","690000","669000","672000","284000","388000","16480","8424","8056","1.43","28316","14316","14000","21853","12606","9247","27371","15120","12251","9954","3175","13.7","29.6","-0.3","170","1984","13039","2291444","2291","46452","289","20509","26900","77600","154","1532","14675","497","8389","115671","238","5087","62251","21062","20631","105","4565","61504","19873","9192","5","18","98","2346","1559","25180","725","39","5902","1088","79","6","16880","158","93376","339185","361423","32872","33117","31468","38313","11562","6368","4125","984","1135983","831898","100607","198543","111","1687","1170","679","61237","17","60061","8313","278832","68359","13278","27715","10314","8910","10291","48785","6322","26033","58825"
