"Code","Prefecture","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A410101","A410102","A4103","A4200","A420001","A420002","A5101","A510101","A510102","A5102","A510201","A510202","A9101","A9201","B4101","B4102","B4103","B4106","B4109","C3301","C3302","C3801","C3802","C3803","C3804","C5401","C5403","E1101","E1301","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E3701","E3702","E4101","E4401","E4501","E4601","E4602","E6101","E6102","E6201","E6202","E6301","E6302","E6501","E650110","E6502","E650210","E7101","E7102","E7201","E7202","F3101","F3102","F3103","F3104","F3105","F3106","G5105","H1800","H1801","H1802","H1803","H2600","H2601","H2602","H2603","I510120","I5102","I5103","J2503","J2505","J250502","J2506","J2526","L3221","L322101","L322102","L322103","L322104","L322105","L322106","L322107","L322108","L322109","L322110"
"地域コード","都道府県","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","出生数","出生数（男）","出生数（女）","合計特殊出生率","死亡数","死亡数（男）","死亡数（女）","転入者数（日本人移動者）","転入者数（日本人移動者）（男）","転入者数（日本人移動者）（女）","転出者数（日本人移動者）","転出者数（日本人移動者）（男）","転出者数（日本人移動者）（女）","婚姻件数","離婚件数","年平均気温","最高気温（日最高気温の月平均の最高値）","最低気温（日最低気温の月平均の最低値）","降水日数（年間）","降水量（年間）","着工建築物数","着工建築物床面積","旅館営業施設数","旅館営業施設客室数","ホテル営業施設数","ホテル営業施設客室数","標準価格（平均価格）（住宅地）","標準価格（平均価格）（商業地）","幼稚園数","幼稚園教員数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","中学校卒業者数","中学校卒業者のうち進学者数","高等学校数","高等学校教員数","高等学校生徒数","高等学校卒業者数","高等学校卒業者のうち進学者数","短期大学数","大学数","短期大学教員数","大学教員数","短期大学学生数","大学学生数","短期大学卒業者数","短期大学卒業者のうち進学者数","大学卒業者数","大学卒業者のうち進学者数","専修学校数","各種学校数","専修学校生徒数","各種学校生徒数","新規求職申込件数（一般）","月間有効求職者数（一般）","月間有効求人数（一般）","充足数（一般）","就職件数（一般）","県内就職件数（一般）","一般旅券発行件数","着工新設住宅戸数","着工新設持家数","着工新設貸家数","着工新設分譲住宅数","着工新設住宅床面積","着工新設持家床面積","着工新設分譲住宅床面積","着工新設貸家床面積","一般病院数","一般診療所数","歯科診療所数","保育所等数","保育所等定員数","保育所等利用待機児童数","保育所等在所児数","保育所等保育士数","消費支出（二人以上の世帯）","食料費（二人以上の世帯）","住居費（二人以上の世帯）","光熱・水道費（二人以上の世帯）","家具・家事用品費（二人以上の世帯）","被服及び履物費（二人以上の世帯）","保健医療費（二人以上の世帯）","交通・通信費（二人以上の世帯）","教育費（二人以上の世帯）","教養娯楽費（二人以上の世帯）","その他の消費支出（二人以上の世帯）"
"R01000","北海道","5548000","2626000","2922000","5530000","2619000","2911000","675000","344000","331000","3555000","1728000","1828000","1305000","544000","760000","41074","21005","20069","1.2","52955","28713","24242","49497","29876","19621","70626","42405","28221","29115","12677","9.5","25.7","-7.5","121","843","21348","5586615","3504","115395","660","61797","22000","75200","562","5200","67776","1307","19836","283111","687","12585","150790","50544","49370","321","11791","148535","47293","19508","21","36","415","6325","7165","81503","3549","599","17846","2331","184","61","33779","4736","371723","1266313","467068","60693","63569","61139","93855","36050","11282","20033","4292","3129408","1509074","471231","1110482","524","3375","3027","831","65151","532","64357","9272","288692","64770","23728","25648","8849","11811","10931","36944","10787","30331","64893"
"R02000","青森県","1395000","657000","738000","1392000","656000","736000","179000","91000","88000","873000","428000","445000","340000","135000","205000","10187","5267","4920","1.3","15400","8273","7127","20228","11955","8273","29494","16918","12576","6401","2828","10.7","25.8","-3.9","146","1085","5948","1281013","958","22069","131","10502","24000","49800","134","854","10317","366","5629","78983","175","3431","43348","14576","14191","88","3409","42344","13426","5667","6","9","154","1203","1659","14930","785","40","3604","317","37","16","2444","834","110316","366467","106234","20021","22245","19302","16095","6429","3286","2606","463","665787","465664","47526","145543","90","938","570","474","32511","34","34725","5231","262682","66660","15636","27856","8871","11450","10336","32770","9593","23441","56068"
"R03000","岩手県","1352000","646000","706000","1346000","644000","702000","174000","89000","85000","823000","412000","410000","355000","144000","212000","10223","5321","4902","1.39","15026","8074","6952","18091","10286","7805","25002","13797","11205","6018","2323","10.6","27.5","-6.8","119","1020.5","6975","1351175","1023","22392","163","10384","30200","65700","154","1010","14005","422","5573","74645","196","3341","40386","13678","13408","88","3277","40997","13283","5389","5","5","112","1339","1370","11602","635","88","2532","406","37","8","5494","460","86228","309004","133766","24698","26814","23756","17451","6823","3453","2689","659","676694","474053","64375","136130","83","924","606","345","25401","75","26452","3816","288272","67645","17067","26763","8271","10543","13354","43079","8144","27665","65741"
"R04000","宮城県","2349000","1140000","1209000","2338000","1136000","1202000","317000","162000","155000","1520000","761000","759000","504000","212000","292000","19863","10086","9777","1.29","20657","11028","9629","49269","28243","21026","54295","31286","23009","12763","4554","12.7","26.7","-1.9","102","1349","10850","2865620","960","32175","260","18879","41000","249100","312","2465","34025","457","8233","130933","228","4888","66632","22000","21478","109","4853","65535","21025","9702","4","14","70","4364","1177","49254","545","20","10912","1710","68","26","20126","1613","123598","470809","242581","29037","29095","26511","45361","14781","5416","5847","3452","1393323","737847","358587","292203","119","1580","1047","332","26808","1270","27795","4533","292660","68589","17755","22888","8618","12312","11894","38384","15485","28595","68140"
"R05000","秋田県","1109000","521000","587000","1105000","520000","585000","128000","65000","62000","665000","331000","334000","315000","125000","190000","7421","3740","3681","1.32","13638","7104","6534","13256","7585","5671","19443","10771","8672","4555","1823","12.3","28.2","-2.7","148","1256","5750","1095389","682","18187","87","8043","20200","43300","99","775","9085","266","3997","55738","134","2475","31299","10437","10244","63","2596","30829","10035","4401","5","5","129","923","1419","8239","636","50","1903","287","27","5","1854","195","76998","283032","90974","17000","18363","16585","15429","5283","2814","1822","474","557271","400150","46832","100120","62","813","469","242","21291","181","22216","3104","295181","69540","18300","26443","9599","11961","11945","32942","12377","28373","73702"
"R06000","山形県","1188000","570000","618000","1181000","569000","613000","152000","78000","74000","720000","363000","357000","317000","129000","187000","9164","4683","4481","1.44","13719","7045","6674","14094","7892","6202","19301","10604","8697","5411","2009","12","29.8","-4.1","135","1158","6014","1107378","1050","22685","132","8152","24300","54100","118","1046","12445","344","4630","65429","130","2695","35287","11841","11666","68","2830","35904","11622","5428","3","4","106","969","1617","11123","820","113","2497","564","23","6","1991","219","69916","250116","122163","18520","19323","18103","19914","5781","3144","1880","584","646394","478794","60972","97175","57","931","472","235","19962","211","20415","2789","339658","72863","21992","29707","11056","13122","13280","48008","14168","31002","84458"
"R07000","福島県","2054000","997000","1057000","2044000","994000","1050000","288000","148000","141000","1268000","644000","624000","496000","205000","292000","16908","8712","8196","1.52","21583","11340","10243","26653","15354","11299","34937","19255","15682","10252","3991","13.2","29.7","-2.4","107","1082.5","10311","2173634","1951","40264","256","15809","24600","55900","362","2415","31614","534","8031","121840","247","4929","64674","21807","20938","115","4817","63396","20214","8774","5","8","169","1169","2600","15522","1236","132","3495","318","55","13","5950","552","105851","377103","187150","24904","26044","24234","37479","11333","6010","4239","956","1099998","799411","92187","200955","122","1468","906","313","26242","178","27080","4207","321157","67374","15156","26790","9199","12792","10560","42697","12924","33665","89999"
"R08000","茨城県","2971000","1479000","1492000","2929000","1460000","1470000","404000","207000","196000","1928000","989000","939000","632000","278000","354000","24592","12751","11841","1.37","27466","14909","12557","52140","30289","21851","54596","30683","23913","15866","5853","13.9","28.8","-2.1","101","1181","19015","3976705","1441","30114","289","14440","40000","69700","388","2923","42655","574","10311","171387","243","6214","87834","29545","28485","132","6118","82462","26234","13593","5","9","95","2903","1615","30552","867","20","7030","1545","66","18","7609","1129","102800","371288","241304","22972","24668","21114","79554","23452","11189","9410","2743","2191718","1457455","280755","448328","171","1687","1379","461","41228","284","43716","5911","300810","64540","24933","21897","9810","14392","11980","36976","12251","33538","70494"
"R09000","栃木県","2015000","1001000","1014000","1986000","988000","998000","276000","142000","134000","1311000","677000","634000","424000","182000","243000","17240","9021","8219","1.42","18437","9799","8638","35457","20554","14903","36960","20695","16265","11198","3963","14.3","30.3","-2.6","119","1596.5","13112","2700445","1674","38350","161","10045","43500","89300","206","2583","32978","408","7012","113957","179","4267","58332","19463","18675","81","4044","57701","18684","9979","6","9","202","3144","2379","20356","1152","93","4668","490","62","34","7810","1027","79822","292255","219206","20539","20280","18384","49120","18169","8072","7920","1750","1644508","1073706","189086","360303","95","1422","979","347","29065","76","31388","4619","337641","72004","29337","25159","10472","14378","13067","44188","9331","38375","81328"
