"Code","Prefecture","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A410101","A410102","A4103","A4200","A420001","A420002","A5101","A510101","A510102","A5102","A510201","A510202","A9101","A9201","B4101","B4102","B4103","B4106","B4109","C3301","C3302","C3801","C3802","C3803","C3804","C5401","C5403","E1101","E1301","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E3701","E3702","E4101","E4401","E4501","E4601","E4602","E6101","E6102","E6201","E6202","E6301","E6302","E6501","E650110","E6502","E650210","E7101","E7102","E7201","E7202","F3101","F3102","F3103","F3104","F3105","F3106","G5105","H1800","H1801","H1802","H1803","H2600","H2601","H2602","H2603","I510120","I5102","I5103","J2503","J2505","J250502","J2506","J2526","L3221","L322101","L322102","L322103","L322104","L322105","L322106","L322107","L322108","L322109","L322110"
"地域コード","都道府県","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","出生数","出生数（男）","出生数（女）","合計特殊出生率","死亡数","死亡数（男）","死亡数（女）","転入者数（日本人移動者）","転入者数（日本人移動者）（男）","転入者数（日本人移動者）（女）","転出者数（日本人移動者）","転出者数（日本人移動者）（男）","転出者数（日本人移動者）（女）","婚姻件数","離婚件数","年平均気温","最高気温（日最高気温の月平均の最高値）","最低気温（日最低気温の月平均の最低値）","降水日数（年間）","降水量（年間）","着工建築物数","着工建築物床面積","旅館営業施設数","旅館営業施設客室数","ホテル営業施設数","ホテル営業施設客室数","標準価格（平均価格）（住宅地）","標準価格（平均価格）（商業地）","幼稚園数","幼稚園教員数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","中学校卒業者数","中学校卒業者のうち進学者数","高等学校数","高等学校教員数","高等学校生徒数","高等学校卒業者数","高等学校卒業者のうち進学者数","短期大学数","大学数","短期大学教員数","大学教員数","短期大学学生数","大学学生数","短期大学卒業者数","短期大学卒業者のうち進学者数","大学卒業者数","大学卒業者のうち進学者数","専修学校数","各種学校数","専修学校生徒数","各種学校生徒数","新規求職申込件数（一般）","月間有効求職者数（一般）","月間有効求人数（一般）","充足数（一般）","就職件数（一般）","県内就職件数（一般）","一般旅券発行件数","着工新設住宅戸数","着工新設持家数","着工新設貸家数","着工新設分譲住宅数","着工新設住宅床面積","着工新設持家床面積","着工新設分譲住宅床面積","着工新設貸家床面積","一般病院数","一般診療所数","歯科診療所数","保育所等数","保育所等定員数","保育所等利用待機児童数","保育所等在所児数","保育所等保育士数","消費支出（二人以上の世帯）","食料費（二人以上の世帯）","住居費（二人以上の世帯）","光熱・水道費（二人以上の世帯）","家具・家事用品費（二人以上の世帯）","被服及び履物費（二人以上の世帯）","保健医療費（二人以上の世帯）","交通・通信費（二人以上の世帯）","教育費（二人以上の世帯）","教養娯楽費（二人以上の世帯）","その他の消費支出（二人以上の世帯）"
"R01000","北海道","5438000","2565000","2873000","5419000","2558000","2861000","630000","321000","309000","3332000","1628000","1704000","1469000","612000","857000","38190","19558","18632","1.28","59432","30976","28456","47783","28308","19475","55937","32388","23549","26330","11285","9.2","27.1","-8","161","1347","22963","5690164","3163","111005","681","63650","18100","57200","547","5511","65150","1154","19530","261370","652","12392","138959","47546","46413","292","11030","135859","43503","17923","17","36","328","6581","5400","78805","2456","328","17397","2113","179","56","32590","5038","290823","1048428","773704","65119","65291","63130","94152","34967","13304","17502","3900","3186608","1731039","433195","1000642","505","3396","3003","828","67730","532","66763","10468","279190","63975","26159","26210","9283","10375","11833","38039","8205","26697","58414"
"R02000","青森県","1337000","628000","708000","1334000","627000","706000","159000","81000","78000","804000","397000","407000","373000","150000","223000","9126","4725","4401","1.4","17112","8738","8374","18472","10989","7483","24528","13808","10720","5723","2335","10.5","29.3","-4.7","164","1664","6849","1218028","852","21535","137","10927","17700","36700","120","823","8150","316","5072","67394","169","3310","38452","13256","12929","82","3188","38878","12594","5378","6","10","165","1300","1849","14658","805","26","3377","270","31","13","2504","427","83221","292194","170283","23237","24835","22280","14969","6454","4206","1940","285","702051","558134","29998","110925","85","896","556","459","31342","0","33427","5328","246445","62383","13864","29311","8995","8959","9992","32405","12268","19961","48308"
"R03000","岩手県","1299000","623000","676000","1294000","621000","672000","159000","82000","77000","764000","385000","378000","372000","152000","220000","9231","4766","4465","1.46","15969","8185","7784","18529","10675","7854","20960","11335","9625","5398","2003","10.6","29.4","-7.1","133","1643","9370","1949583","910","21752","164","10918","24500","46400","142","974","11962","362","5221","66328","178","3290","36764","12530","12348","81","3099","36252","11892","5034","5","5","105","1351","1173","11680","508","79","2482","405","33","8","5904","487","67848","247765","232325","27196","28950","26083","16733","9870","5176","3926","689","982420","674537","68998","235216","77","923","602","348","25544","168","26214","4090","276415","65103","13991","28262","8664","9829","12342","44567","7771","25646","60240"
"R04000","宮城県","2333000","1138000","1196000","2322000","1133000","1189000","299000","153000","146000","1476000","744000","732000","553000","236000","317000","18949","9692","9257","1.34","22214","11396","10818","51326","30207","21119","46670","26912","19758","11985","4162","12.7","30","-2.7","99","1111.5","18905","4259403","831","33600","260","21606","31900","146600","282","2507","33272","419","7984","122447","216","4921","64862","21852","21312","100","4609","61572","19657","9496","4","14","118","4747","1514","49059","492","4","11218","1643","65","22","17619","1794","99498","394305","459911","34640","34257","30695","47404","25746","9673","12516","3499","2342211","1262743","364097","709663","115","1627","1052","337","28489","966","29461","5125","289429","70398","14172","24065","9760","12456","12428","42416","10057","27816","65863"
"R05000","秋田県","1050000","493000","557000","1047000","492000","555000","115000","58000","56000","604000","301000","303000","331000","133000","199000","6177","3118","3059","1.35","14824","7414","7410","11943","6855","5088","16538","9017","7521","3865","1485","11.9","29.3","-3.4","187","2373","6386","1051704","611","16543","94","7697","15300","29500","93","737","7375","228","3657","48249","123","2323","27154","9303","9162","58","2345","27662","9089","4039","5","7","60","1029","1018","8694","551","39","1964","282","25","5","1700","195","54699","203866","128268","19344","20299","18730","12669","4366","3193","824","316","516563","433859","33470","46626","57","824","447","251","23193","38","23093","3590","272864","64728","13404","27443","8693","9347","12789","36312","9688","25269","65192"
"R06000","山形県","1144000","549000","595000","1138000","548000","590000","142000","73000","69000","668000","337000","331000","332000","138000","194000","8159","4148","4011","1.47","15029","7489","7540","13498","7612","5886","17579","9502","8077","4741","1675","11.9","31.2","-4.6","143","1347","7127","1366212","901","20726","131","8161","19500","41800","109","1023","11285","292","4330","59595","112","2526","32214","10850","10730","63","2639","32480","10553","4715","3","5","99","1093","1284","11318","588","122","2551","538","22","6","1941","226","54902","207816","184035","19757","20368","18879","18776","5879","3765","1610","427","680323","536294","46578","91096","55","934","487","227","20356","77","20722","3185","314882","70186","17981","29765","10931","11158","13537","48140","13574","29488","70122"
"R07000","福島県","1940000","951000","989000","1933000","948000","984000","246000","126000","120000","1176000","602000","575000","524000","220000","304000","14546","7526","7020","1.53","23611","12206","11405","25768","15710","10058","30968","16991","13977","9069","3246","13.4","32.2","-2.5","97","1202","14203","2866242","1704","38822","261","16599","20500","43200","344","2293","25257","483","7302","100579","241","4707","57446","19782","19002","112","4419","55473","18103","8011","5","8","164","1268","1799","14363","858","93","3161","235","55","12","6366","619","81215","294283","342049","31730","32260","29533","35038","15954","8269","6752","893","1576064","1086045","94976","390332","105","1389","869","304","25301","97","25136","4296","274195","63729","14892","25988","10043","10707","9711","45206","6737","23297","63885"
"R08000","茨城県","2937000","1464000","1474000","2899000","1446000","1453000","382000","196000","186000","1821000","940000","881000","728000","325000","403000","22358","11551","10807","1.42","30368","15909","14459","44721","25691","19030","49859","28067","21792","14323","5047","14.3","31.3","-2.5","103","1338","20642","4140821","1173","27959","293","15084","31400","65400","366","2780","38441","548","10282","158893","240","6281","84604","28366","27391","120","5685","78960","24897","12380","3","9","51","3050","903","30324","429","0","6875","1481","66","15","8703","1035","96152","393688","299391","26938","28682","23882","65964","24367","12200","8932","3080","2325228","1527206","319283","463973","162","1726","1401","483","44586","215","47657","6565","290219","64636","18444","23360","10409","13071","13121","41527","10377","30593","64682"
"R09000","栃木県","1986000","986000","1000000","1962000","976000","986000","260000","134000","126000","1246000","644000","602000","480000","209000","271000","15588","7959","7629","1.43","20591","10613","9978","30820","17483","13337","32283","17856","14427","10152","3626","14.4","32.1","-2.9","108","1504.5","13414","2499688","1483","35456","161","10428","34100","70700","198","2662","30519","388","7024","108135","174","4289","56101","18809","18172","76","3739","54454","17391","8836","6","9","170","3500","1877","20065","834","80","4363","356","58","30","8267","1132","74309","314601","241604","22901","23870","20368","43098","14418","8101","4089","2179","1482026","1027921","232608","215897","91","1433","984","340","29587","23","31653","4915","308699","67674","23551","23983","10553","12641","14362","43342","11831","29184","71578"
