"地域コード","都道府県","市区町村","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","75歳以上人口","75歳以上人口（男）","75歳以上人口（女）","外国人人口","出生数","死亡数","転入者数（日本人移動者）","転出者数（日本人移動者）","世帯数","一般世帯数","一般世帯人員数","核家族世帯数","単独世帯数","65歳以上の世帯員のいる核家族世帯数","高齢夫婦のみの世帯数","高齢単身世帯数（65歳以上の者１人）","婚姻件数","離婚件数","総面積（北方地域及び竹島を除く）","可住地面積","事業所数","事業所数（農業，林業）","事業所数（建設業）","事業所数（製造業）","事業所数（電気・ガス・熱供給・水道業）","事業所数（情報通信業）","事業所数（運輸業，郵便業）","事業所数（卸売業，小売業）","事業所数（金融業，保険業）","事業所数（不動産業，物品賃貸業）","事業所数（学術研究，専門・技術サービス業）","事業所数（宿泊業，飲食サービス業）","事業所数（生活関連サービス業，娯楽業）","事業所数（教育，学習支援業）","事業所数（医療，福祉）","事業所数（複合サービス事業）","事業所数（サービス業（他に分類されないもの））","事業所数（公務（他に分類されるものを除く））","第１次産業事業所数","第２次産業事業所数","第３次産業事業所数","従業者数","従業者数（農業，林業）","従業者数（建設業）","従業者数（製造業）","従業者数（電気・ガス・熱供給・水道業）","従業者数（情報通信業）","従業者数（運輸業，郵便業）","従業者数（卸売業，小売業）","従業者数（金融業，保険業）","従業者数（不動産業，物品賃貸業）","従業者数（学術研究，専門・技術サービス業）","従業者数（宿泊業，飲食サービス業）","従業者数（生活関連サービス業，娯楽業）","従業者数（教育，学習支援業）","従業者数（医療，福祉）","従業者数（複合サービス事業）","従業者数（サービス業（他に分類されないもの））","従業者数（公務（他に分類されるものを除く））","第１次産業従業者数","第２次産業従業者数","第３次産業従業者数","農家数（販売農家）","農家数（自給的農家）","経常収支比率（市町村財政）","実質公債費比率（市町村財政）","歳入決算総額（市町村財政）","地方税（市町村財政）","歳出決算総額（市町村財政）","民生費（市町村財政）","土木費（市町村財政）","教育費（市町村財政）","災害復旧費（市町村財政）","幼稚園数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","高等学校数","高等学校生徒数","就業者数","就業者数（男）","就業者数（女）","完全失業者数","完全失業者数（男）","完全失業者数（女）","非労働力人口","非労働力人口（男）","非労働力人口（女）","第１次産業就業者数","第２次産業就業者数","第３次産業就業者数","公民館数","図書館数","総人口（非水洗化人口＋水洗化人口）","非水洗化人口","小売店数","飲食店数","大型小売店数","一般病院数","一般診療所数","歯科診療所数","医師数","歯科医師数","薬剤師数","保育所等数","保育所等在所児数"
"R33212","岡山県","瀬戸内市","36975","17547","19428","36601","17423","19178","4350","2249","2101","20291","9987","","12151","5217","6934","6134","2361","3773","278","欠損値","502","1079","1108","13839","13808","36106","8574","3287","4024","unknown","1824","123","46","","6983","1366","11","136","200","2","3","57","322","13","25","29","116","113","欠損値","110","18","116","18","15","336","1015","15789","401","744","4744","33","3","1120","2216","unknown","84","120","649","396","unknown","2463","148","1811","362","438","5488","9863","975","543","84.6","10.6","18943423","5202165","18154508","5460208","1483816","2353301","13541","9","277","9","159","1830","3","77","890","1","423","17705","9683","8022","unknown","453","216","13719","4902","8817","1638","","10165","7","1","37735","2894","247","66","3","4","29","13","65","29","51","","710"
"R33213","unknown","赤磐市","43214","20671","22543","欠損値","","22400","5912","3079","unknown","23757","11532","12225","13521","6038","7483","6267","2496","3771","195","","unknown","","1180","15730","15696","unknown","10551","欠損値","4879","2822","","unknown","69","20936","7771","1424","13","189","150","2","5","45","欠損値","14","","39","107","124","83","171","21","97","","13","","1070","13744","145","1029","3685","20","欠損値","570","2544","151","53","228","663","591","748","2343","159","370","欠損値","145","4728","8871","1476","unknown","92.2","8","19363132","4877708","18428738","6564164","1506129","1686318","90400","6","301","12","216","2394","6","136","1687","unknown","525","20826","11420","9406","795","欠損値","259","15376","欠損値","","1978","欠損値","12512","14","4","","4931","269","93","6","1","37","23","51","29","61","14","1137"
"R33214","岡山県","真庭市","欠損値","21855","24269","unknown","21788","24086","5519","欠損値","2712","23649","11969","11680","16900","7058","9842","9890","3651","unknown","167","282","unknown","724","1007","16084","16030","44562","8111","3790","4451","2405","2183","169","47","","欠損値","2730","48","386","","1","17","67","730","25","76","67","282","","112","173","38","191","39","","630","unknown","20622","369","1898","4567","14","欠損値","708","3782","226","欠損値","236","1430","","948","3332","285","863","812","394","6507","13721","3208","2009","88.4","9","34191641","5218099","32761584","7896249","","5324758","116674","4","18","22","244","2155","6","109","1133","2","970","22921","12608","10313","727","522","205","16662","5781","10881","unknown","6275","13150","20","3","46599","15118","592","unknown","3","6","43","19","80","24","67","18","1187"
"R33215","岡山県","美作市","27977","13248","14729","27799","13146","欠損値","3041","","1493","14020","7110","6910","10873","4549","6324","6351","2318","4033","169","157","496","496","700","10881","10851","","5761","3105","unknown","1859","1889","82","37","42929","10089","1416","14","168","161","3","3","31","351","13","","34","165","132","53","95","30","109","24","unknown","329","1072","11985","132","967","2751","35","18","353","1769","193","74","214","1250","700","492","1598","505","440","490","欠損値","3718","8131","unknown","unknown","90.8","13.2","22417292","3203244","21474770","5105121","3140780","1688756","欠損値","4","49","","欠損値","1174","unknown","欠損値","623","1","379","13690","7556","6134","578","414","164","10559","3657","6902","1972","4078","7493","欠損値","5","26993","567","unknown","107","欠損値","3","28","欠損値","35","16","","7","609"
"R33216","岡山県","浅口市","34235","16425","17810","34104","16397","unknown","3915","2014","1901","18346","9103","9243","11914","5279","6635","5826","2333","3493","103","172","495","782","欠損値","12463","12438","33705","7855","2562","4180","2239","1505","124","","6646","3729","1093","2","93","140","2","7","35","","16","35","16","78","116","64","欠損値","6","77","14","2","233","858","10134","16","unknown","2612","10","15","898","1934","141","60","62","510","402","732","1381","43","454","359","16","3117","","412","1117","94.6","10.6","欠損値","3558291","14387565","4424123","2103836","1787300","15498","3","90","8","128","1650","4","108","1283","3","","14871","8284","6587","912","欠損値","294","14292","5388","","652","4782","欠損値","5","3","34885","9241","256","unknown","5","2","20","13","34","16","40","8","570"
"R33346","岡山県","和気町","14412","欠損値","7668","14311","6702","7609","unknown","767","730","7345","3638","3707","5570","2339","3231","2938","1067","1871","101","62","251","385","416","5236","5189","13673","3114","1188","1760","971","749","28","25","14421","3637","626","6","79","96","1","2","16","132","8","16","16","47","51","32","欠損値","8","","14","欠損値","","444","5233","134","295","1210","6","3","139","759","61","46","43","332","243","348","1164","68","欠損値","246","135","1505","欠損値","611","489","94.2","12.9","9482713","1587769","9052433","1960422","unknown","1087539","96278","欠損値","130","3","53","553","2","38","341","1","341","6469","","2950","359","unknown","98","欠損値","2190","3883","488","2143","3790","5","2","14411","562","109","31","1","2","12","5","19","7","29","1","63"
"R33423","","早島町","12154","5827","6327","12121","5810","6311","1885","1022","863","6881","3304","3577","3345","1475","1870","1486","","877","unknown","欠損値","113","454","unknown","4349","4343","11846","2874","903","1170","673","414","50","23","762","673","489","1","50","42","2","0","41","","欠損値","29","9","26","38","15","欠損値","1","48","3","欠損値","92","","6430","8","380","339","7","0","1044","2076","unknown","92","52","240","155","240","874","15","","108","8","719","5703","105","64","94.1","6.7","4972486","1915524","4768009","1620190","","","","1","144","1","49","805","1","26","335","0","0","欠損値","3018","2584","237","","78","4240","1522","unknown","100","1266","","1","1","12465","161","74","21","3","1","9","7","41","11","25","3",""
"R33445","岡山県","里庄町","10929","5148","5781","10807","5139","5668","1515","unknown","unknown","6154","2967","3187","3256","欠損値","1852","1604","628","976","120","unknown","unknown","312","284","4027","4016","10737","","924","1136","unknown","455","36","14","1223","837","欠損値","0","25","49","unknown","2","7","88","5","25","8","36","31","20","36","1","24","","0","74","291","5605","0","133","unknown","欠損値","10","94","688","40","49","29","216","128","118","585","11","103","74","0","3436","2169","33","278","88.6","7.3","欠損値","1524898","4452109","unknown","541569","457328","40839","2","96","2","43","637","1","25","284","0","0","5110","2762","","231","140","91","4046","1456","2590","113","unknown","3204","3","1","11214","4259","66","24","1","1","5","5","7","5","21","2","352"
"","岡山県","矢掛町","14201","6715","7486","13984","6613","7371","unknown","772","760","7417","3709","3708","5248","2230","3018","2850","1065","1785","","欠損値","216","309","351","4955","欠損値","13878","2704","","1509","786","619","38","16","9062","3255","699","7","78","111","2","","18","欠損値","6","13","11","34","64","43","54","8","45","11","7","189","503","5953","182","520","","14","15","312","950","54","欠損値","32","121","163","289","733","70","156","132","","2698","3073","unknown","699","89.3","8.2","9480877","1565473","9058884","2101933","1325512","816009","37568","unknown","43","7","80","600","1","24","欠損値","1","400","6701","3669","3032","297","214","83","5618","2028","3590","614","2287","3745","8","1","14451","3297","179","29","unknown","2","欠損値","7","18","7","23","4","unknown"
"R33586","岡山県","新庄村","866","400","466","欠損値","unknown","462","","42","55","407","202","205","","156","206","219","欠損値","140","5","5","","欠損値","31","330","unknown","","unknown","86","95","59","欠損値","6","3","6711","unknown","54","3","9","4","0","0","1","13","0","unknown","0","7","4","3","3","1","3","unknown","3","13","38","231","11","39","unknown","欠損値","0","1","unknown","0","","0","23","5","28","17","3","4","39","11","56","164","113","45","73.5","5.2","2751643","223574","","277954","256241","91607","0","0","0","1","9","42","欠損値","","19","0","0","450","245","205","11","8","","308","105","203","145","64","237","1","0","960","154","11","6","0","0","1","1","1","1","unknown","1","28"
