"code","prefecture","municipality","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A1419","A141901","A141902","A1700","A4101","A4200","A5101","A5102","A7101","A710101","A710201","A810102","A810105","A811102","A8201","A8301","A9101","A9201","B1101","B1103","C2107","C210703","C210708","C210709","C210710","C210711","C210712","C210713","C210716","C210717","C210718","C210719","C210720","C210721","C210722","C210723","C210724","C210725","C2110","C2111","C2112","C2207","C220703","C220708","C220709","C220710","C220711","C220712","C220713","C220716","C220717","C220718","C220719","C220720","C220721","C220722","C220723","C220724","C220725","C2210","C2211","C2212","C310201","C310202","D2203","D2211","D3201","D320101","D3203","D320303","D320308","D320310","D320311","E1101","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E4101","E4501","F1102","F110201","F110202","F1107","F110701","F110702","F1108","F110801","F110802","F2201","F2211","F2221","G1201","G1401","H5507","H550701","H6130","H6131","H6132","I510120","I5102","I5103","I6100","I6200","I6300","J2503","J2506"
"year","年度","年度","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2018","2018","2018","2018","2015","2015","2015","2015","2015","2015","2015","2015","2018","2018","2018","2018","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2017","2017","2017","2017","2017","2017","2017","2017","2017","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2017","2017","2016","2016","2016","2017","2017","2017","2016","2016","2016","2017","2017"
"地域コード","都道府県","市区町村","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","75歳以上人口","75歳以上人口（男）","75歳以上人口（女）","外国人人口","出生数","死亡数","転入者数（日本人移動者）","転出者数（日本人移動者）","世帯数","一般世帯数","一般世帯人員数","核家族世帯数","単独世帯数","65歳以上の世帯員のいる核家族世帯数","高齢夫婦のみの世帯数","高齢単身世帯数（65歳以上の者１人）","婚姻件数","離婚件数","総面積（北方地域及び竹島を除く）","可住地面積","事業所数","事業所数（農業，林業）","事業所数（建設業）","事業所数（製造業）","事業所数（電気・ガス・熱供給・水道業）","事業所数（情報通信業）","事業所数（運輸業，郵便業）","事業所数（卸売業，小売業）","事業所数（金融業，保険業）","事業所数（不動産業，物品賃貸業）","事業所数（学術研究，専門・技術サービス業）","事業所数（宿泊業，飲食サービス業）","事業所数（生活関連サービス業，娯楽業）","事業所数（教育，学習支援業）","事業所数（医療，福祉）","事業所数（複合サービス事業）","事業所数（サービス業（他に分類されないもの））","事業所数（公務（他に分類されるものを除く））","第１次産業事業所数","第２次産業事業所数","第３次産業事業所数","従業者数","従業者数（農業，林業）","従業者数（建設業）","従業者数（製造業）","従業者数（電気・ガス・熱供給・水道業）","従業者数（情報通信業）","従業者数（運輸業，郵便業）","従業者数（卸売業，小売業）","従業者数（金融業，保険業）","従業者数（不動産業，物品賃貸業）","従業者数（学術研究，専門・技術サービス業）","従業者数（宿泊業，飲食サービス業）","従業者数（生活関連サービス業，娯楽業）","従業者数（教育，学習支援業）","従業者数（医療，福祉）","従業者数（複合サービス事業）","従業者数（サービス業（他に分類されないもの））","従業者数（公務（他に分類されるものを除く））","第１次産業従業者数","第２次産業従業者数","第３次産業従業者数","農家数（販売農家）","農家数（自給的農家）","経常収支比率（市町村財政）","実質公債費比率（市町村財政）","歳入決算総額（市町村財政）","地方税（市町村財政）","歳出決算総額（市町村財政）","民生費（市町村財政）","土木費（市町村財政）","教育費（市町村財政）","災害復旧費（市町村財政）","幼稚園数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","高等学校数","高等学校生徒数","就業者数","就業者数（男）","就業者数（女）","完全失業者数","完全失業者数（男）","完全失業者数（女）","非労働力人口","非労働力人口（男）","非労働力人口（女）","第１次産業就業者数","第２次産業就業者数","第３次産業就業者数","公民館数","図書館数","総人口（非水洗化人口＋水洗化人口）","非水洗化人口","小売店数","飲食店数","大型小売店数","一般病院数","一般診療所数","歯科診療所数","医師数","歯科医師数","薬剤師数","保育所等数","保育所等在所児数"
"欠損値","北海道","札幌市","欠損値","910614","1041742","1937785","903535","1034250","unknown","112743","108270","1235516","590111","unknown","483534","201313","282221","225299","欠損値","141246","unknown","13248","19343","117434","109504","921837","","1899980","493644","375242","178246","98660","104650","9878","4024","112126","unknown","76604","103","6701","2611","68","1459","1697","unknown","1420","8822","","10168","6427","","欠損値","303","4746","294","105","9321","unknown","912841","1331","61706","38170","4390","31952","47454","195399","24911","unknown","30961","87304","42136","46826","","7785","99791","29737","1345","99922","811574","461","346","93.6","2.8","980747975","292399779","966533376","404761083","128952110","162101641","","unknown","19598","205","4967","90450","107","2975","44899","52","44345","844313","460571","383742","48619","欠損値","19505","","215570","435482","unknown","118503","645868","欠損値","11","1951640","6549","11197","8502","355","178","1351","1229","6614","2113","5398","287","26613"
"R01202","北海道","函館市","欠損値","120376","","264537","unknown","unknown","27131","13912","13219","152154","72223","79931","85931","33839","52092","42686","14949","27737","771","1418","3761","8249","9590","","123651","255149","66690","48247","unknown","16258","unknown","1065","507","67787","12334","13795","24","1224","612","","100","275","3590","278","976","440","2216","unknown","494","1035","104","932","86","44","1839","11912","124215","201","8728","9798","625","1270","6897","24804","3124","3174","","13084","6446","5599","欠損値","1362","","欠損値","493","18551","105171","212","157","91.3","7.9","141331406","32208730","140296035","60809188","13540612","14812227","0","19","1898","48","782","10657","unknown","469","5917","15","6969","117125","62636","54489","6551","4054","2497","","34217","69336","4137","19490","86480","3","1","unknown","28650","欠損値","1749","欠損値","28","210","129","欠損値","183","680","49","3524"
"R01203","北海道","小樽市","121924","54985","66939","121415","54722","66693","11171","5661","5510","65317","31183","34134","","18020","27220","22804","","unknown","411","480","1901","2894","3936","55466","55299","116724","31709","欠損値","15984","8950","10585","322","unknown","欠損値","8009","6090","2","422","461","欠損値","26","217","1786","99","208","143","939","557","202","535","38","390","45","9","884","5197","56650","8","2658","8275","267","121","3321","12988","918","欠損値","989","5301","2381","3161","9878","548","3101","1818","119","10937","45594","95","66","99.5","7.9","57326414","13397731","57105770","25226933","6896707","4108367","0","欠損値","921","18","340","4351","13","234","2405","8","3299","51317","27330","23987","3080","1984","1096","53928","18733","35195","710","unknown","39508","unknown","1","117924","欠損値","1289","","17","12","83","78","322","102","326","22","unknown"
"unknown","北海道","旭川市","339605","156402","183203","335678","欠損値","欠損値","unknown","18938","18235","191423","90649","100774","106444","44410","62034","51691","19833","31858","613","2120","4377","9960","10630","155747","155218","326243","88393","57488","38167","23059","","1412","666","74766","35194","15201","76","unknown","779","13","110","367","3795","331","1233","","2100","1439","465","1458","unknown","922","80","76","2219","12906","154350","799","11639","10800","","1157","8183","33338","3671","3566","3448","12815","6542","8340","27297","1879","13044","7088","799","22461","131090","1133","298","95.4","7.8","159077308","40022339","157702125","74255894","19847021","12292433","175606","29","2677","55","1208","15319","28","649","8268","13","8992","152385","82441","69944","7697","","3104","128509","43521","84988","4069","26028","","","5","340523","6570","2612","1743","65","欠損値","240","175","1339","254","867","67","unknown"
"R01205","北海道","室蘭市","欠損値","43143","45421","88203","42935","45268","9185","4647","4538","49005","25831","23174","30118","12457","17661","","5688","9162","297","476","1271","2970","","43616","43536","86029","","18486","10954","欠損値","7295","377","113","8088","4327","4423","1","453","230","9","36","122","1039","","欠損値","147","748","379","122","308","25","384","41","1","683","3739","unknown","24","4524","8016","324","欠損値","2600","7498","983","876","1621","3430","1553","2421","","409","","1469","24","12540","34851","16","7","93.8","9.6","欠損値","13267323","欠損値","17490787","6855621","欠損値","18855","10","1015","13","268","3437","欠損値","157","1915","6","2891","37286","22145","15141","1957","1273","684","37414","13467","23947","351","9384","26169","0","1","","欠損値","748","621","11","欠損値","55","欠損値","272","63","196","10","unknown"
"R01206","北海道","釧路市","","82185","92557","174120","81942","92178","19400","9829","9571","101909","欠損値","52021","52867","欠損値","30706","25645","9939","unknown","440","1018","2313","5706","6583","82078","81846","169155","45098","31697","19105","11305","11926","733","欠損値","136290","30910","8871","33","","364","17","欠損値","293","2051","197","839","300","1449","813","281","unknown","47","616","79","53","1096","7722","80833","280","5596","6077","528","456","5873","15700","2324","1993","1978","8105","3376","3693","","546","6950","3387","622","12102","unknown","unknown","欠損値","","10.9","94965331","20939951","94772700","38341655","11474968","9341933","","26","2094","27","614","","17","357","4120","欠損値","4418","欠損値","unknown","33208","3548","2152","1396","欠損値","23208","42953","1679","欠損値","unknown","1","2","172784","11503","","1151","29","15","欠損値","91","欠損値","107","347","26","1701"
"R01207","北海道","帯広市","169327","80994","88333","168800","80736","88064","20566","","9977","103890","51271","52619","44636","18963","","21755","8637","13118","524","1158","1826","7164","7336","77707","77525","163589","unknown","29720","16117","9615","8907","877","","61934","38281","欠損値","欠損値","922","354","11","75","193","2252","208","unknown","358","1531","unknown","320","722","欠損値","652","51","72","","7730","87443","958","7264","5753","342","639","4383","19517","2446","1758","2652","8834","3877","3558","13632","421","6692","4689","963","13040","73440","653","32","92.3","8.7","","22223735","85000314","32305719","9203426","6739468","1199218","13","1974","26","605","8100","14","338","3982","8","unknown","79840","44102","35738","3137","1793","1344","","19135","36583","3923","14264","56126","0","1","","4574","1567","1378","32","18","103","97","493","138","395","31","2774"
"R01208","北海道","北見市","121226","58020","","120936","57884","63052","13570","6897","6673","70781","35523","35258","36437","15291","","18266","7115","欠損値","283","欠損値","1439","3850","unknown","56202","56043","117577","31420","21103","","8072","7328","498","243","142741","欠損値","5944","135","532","256","15","49","163","1515","117","371","189","842","511","181","496","unknown","437","63","153","795","4996","54546","919","4930","3770","305","831","3088","12325","1265","1209","1023","4832","2192","2705","8054","","4088","1854","1165","8803","44578","869","124","91.1","unknown","74186103","14507449","","22781969","12393145","","1088281","8","837","24","467","unknown","14","266","2764","欠損値","3100","55971","31001","","2303","1426","877","欠損値","14556","26993","3903","unknown","38336","欠損値","9","118776","4645","欠損値","663","欠損値","12","65","54","226","79","212","25","unknown"
"R01209","北海道","夕張市","8843","4092","4751","8755","4089","4666","500","241","259","4045","unknown","1955","4296","","2537","欠損値","1004","1523","88","unknown","198","185","288","欠損値","4526","8460","2256","1984","1443","922","1178","13","6","76307","11165","526","欠損値","32","24","7","3","9","137","6","9","6","68","60","11","51","15","欠損値","13","10","56","460","3506","57","unknown","683","unknown","4","106","545","25","27","29","302","155","141","602","105","208","欠損値","欠損値","955","2494","135","26","unknown","欠損値","欠損値","914412","11334140","2378902","1410921","881453","0","1","17","1","unknown","204","1","18","100","1","66","3721","2049","1672","217","unknown","欠損値","4395","1638","unknown","582","815","2315","1","0","8470","3705","119","40","0","0","6","5","10","9","15","3","92"
"R01210","北海道","岩見沢市","84499","欠損値","45180","unknown","39201","45014","8983","4597","4386","47848","23127","24721","27503","11509","","13958","5334","8624","96","433","1164","2536","2891","36155","36060","81202","unknown","11431","9773","5712","5234","264","127","48102","31831","3497","97","312","131","3","31","","815","54","265","144","457","342","105","322","","264","","97","","欠損値","33637","805","2675","2640","147","154","1753","6725","538","711","828","2792","1675","1417","5880","640","2451","1790","805","欠損値","unknown","1041","","96.8","5.9","52615961","8564750","52511632","欠損値","8741001","7175502","0","5","unknown","15","299","3645","10","185","1932","欠損値","2495","37845","20877","16968","欠損値","1229","733","33547","11532","22015","3308","6710","26484","0","2","83091","4685","625","381","10","5","59","48","182","欠損値","unknown","18","1193"
"R01211","北海道","網走市","39077","欠損値","19258","38807","19726","unknown","欠損値","2358","2213","23698","12794","10904","10691","4578","6113","5246","2038","3208","188","230","453","1529","1964","18035","17984","37138","欠損値","欠損値","3803","2316","2169","欠損値","62","47100","21594","2036","37","欠損値","110","5","20","46","439","38","165","86","311","168","unknown","151","20","欠損値","30","64","286","1686","欠損値","546","1412","1755","unknown","218","679","3122","353","367","858","","855","1137","欠損値","","1120","1451","856","3171","15203","349","22","95.4","16.4","24260454","4823816","24138068","5986331","3528294","2179986","132208","5","425","9","193","1697","6","106","880","2","1026","17955","10232","7723","651","403","248","unknown","6004","8468","2230","2875","欠損値","欠損値","1","36380","1252","345","242","unknown","4","16","unknown","66","20","56","5","291"
"R01212","北海道","留萌市","22221","10516","11705","22106","","","2290","1137","1153","12391","unknown","欠損値","7513","3069","4444","3761","1449","2312","99","121","293","921","1203","10402","10358","21320","","3877","2678","1655","1619","77","欠損値","29784","5202","1241","8","95","46","5","10","45","320","欠損値","49","45","191","116","25","99","9","112","unknown","9","142","1090","11121","89","1216","885","51","48","683","1911","272","133","473","760","449","327","1645","195","669","1295","93","2117","8911","67","25","93.8","15.2","13752392","2315087","13531245","3862082","2730697","816135","0","2","208","5","unknown","862","2","51","455","1","","10813","6173","4640","534","","168","8488","2798","5690","358","2200","欠損値","1","1","21498","1762","243","","","2","16","13","47","14","47","3","304"
"R01213","北海道","","172737","84605","88132","unknown","84301","87860","22401","11469","10932","105217","53472","51745","44469","19164","25305","20468","7919","12549","405","1232","1856","5812","5787","78298","欠損値","167749","45158","28681","16374","unknown","","843","380","56157","20182","7723","20","978","375","21","36","455","欠損値","155","380","245","1084","706","297","546","27","","40","22","1361","6340","84199","356","8413","11855","556","513","8745","15369","1495","1498","unknown","6813","4221","2896","unknown","unknown","7220","1867","361","20533","欠損値","47","21","88","6.6","78596523","欠損値","76925526","31993145","","","","15","2445","24","597","unknown","15","343","欠損値","7","3967","76793","45241","31552","3424","2091","1333","58140","19148","38992","1273","19105","50802","1","1","172556","727","1232","欠損値","26","11","92","79","332","111","299","24","1979"
"unknown","北海道","稚内市","36380","17809","欠損値","36082","","18361","4304","2218","2086","21570","11172","10398","10505","欠損値","6086","欠損値","1963","3088","298","197","unknown","1252","1639","16486","16445","35399","9191","欠損値","3923","2227","2084","118","62","unknown","","2102","14","195","欠損値","unknown","15","45","487","53","137","56","346","","欠損値","125","23","166","41","28","323","1751","18538","149","1800","2110","122","unknown","856","3720","480","欠損値","542","1763","751","887","1925","325","1214","1268","欠損値","3918","14212","152","3","93.1","13.6","27149684","4553202","26941920","5859014","3511590","3367846","10973","5","506","11","161","unknown","7","105","802","2","955","16928","9972","6956","887","567","320","11562","unknown","7840","1287","3390","unknown","0","1","34991","835","312","273","5","3","16","13","40","19","57","6","unknown"
"R01215","北海道","美唄市","23035","10753","12282","23000","10736","12264","1973","1039","934","12205","6074","6131","8853","3638","5215","","1775","欠損値","33","88","434","462","723","10173","10098","","5620","3567","2952","1771","1992","48","unknown","27769","15776","1098","35","unknown","63","6","unknown","34","216","18","77","15","141","108","42","欠損値","15","欠損値","19","35","186","","9647","245","unknown","935","46","33","欠損値","1287","142","156","214","740","","576","欠損値","312","514","662","245","2093","","593","92","102.8","14.1","15503600","2100264","15488001","4809539","2167023","欠損値","","3","127","5","76","732","4","欠損値","420","2","561","10047","5539","4508","","363","152","10191","unknown","","1436","2097","欠損値","欠損値","1","21987","4066","欠損値","104","1","4","11","14","42","17","31","unknown","204"
"R01216","北海道","芦別市","14676","6667","8009","","unknown","7977","1109","unknown","543","7160","unknown","3687","6405","2626","3779","3503","1338","2165","","49","271","278","","6862","6828","14016","3897","unknown","2202","1376","1440","40","15","86504","13704","749","25","45","48","5","欠損値","16","169","14","21","unknown","欠損値","78","欠損値","70","15","78","15","25","96","628","5825","unknown","301","1200","unknown","6","237","915","79","42","","397","241","欠損値","1006","80","331","322","263","1568","欠損値","242","","94.6","7.6","","欠損値","欠損値","unknown","1123166","957976","17165","1","unknown","2","36","397","2","29","232","1","292","6152","3283","2869","328","216","112","7006","2552","4454","642","1691","3778","unknown","1","13855","2807","135","84","欠損値","2","5","8","18","欠損値","25","","103"
"R01217","北海道","江別市","120636","57391","63245","120094","57109","62985","欠損値","","6656","74253","36364","37889","32585","13970","","unknown","6032","9489","","577","1276","5013","4403","51983","51905","117458","32310","16659","12742","7527","5849","362","173","","16763","3579","42","407","155","8","29","95","unknown","44","259","","367","354","238","欠損値","21","227","24","43","562","2974","36951","384","2876","3892","187","590","2956","7541","390","769","1097","2500","1522","3428","5792","397","1826","803","385","6768","29798","355","43","93.8","8.6","44776206","12437669","44131052","","6964722","3705734","0","欠損値","996","欠損値","410","5690","9","","3537","5","4027","53086","29622","23464","2671","1733","938","47566","17098","unknown","1439","9540","39322","3","4","118979","unknown","596","297","25","5","68","69","185","85","173","10","900"
"R01218","欠損値","赤平市","11105","5025","6080","11051","5004","6047","unknown","428","欠損値","5306","unknown","2752","欠損値","2043","unknown","2727","unknown","","54","30","欠損値","253","363","4980","4948","9987","2770","1828","1617","1011","1098","24","10","","3669","502","4","46","34","3","2","15","122","9","15","5","60","52","14","52","7","46","15","欠損値","81","unknown","4940","欠損値","408","1144","12","3","257","618","70","欠損値","14","","311","135","1120","34","213","256","45","1567","3328","77","13","欠損値","16.1","10968703","865415","10613806","","1502392","2186090","69107","","48","3","45","331","1","17","163","0","0","4474","2360","2114","268","190","","欠損値","2021","欠損値","unknown","1219","","","1","10538","2023","107","46","1","2","3","5","29","","20","2","106"
"unknown","","紋別市","23109","欠損値","12155","22705","10863","11842","2329","1221","1108","12707","6347","欠損値","7631","3082","","unknown","1406","","310","104","欠損値","欠損値","unknown","11127","11101","22382","5900","unknown","2760","1676","1683","81","47","83067","17451","1403","18","114","107","欠損値","6","45","336","32","90","38","201","135","42","79","17","103","27","24","222","1157","11497","153","880","2154","79","36","596","2050","188","186","191","907","欠損値","549","1207","520","欠損値","510","227","3053","8217","109","6","88.8","10.5","19448354","3017457","19084808","4134083","2942184","2021934","11626","1","86","6","101","871","3","54","482","1","467","11270","unknown","5058","398","unknown","142","8143","欠損値","5473","1017","unknown","6940","3","1","22630","","234","161","unknown","5","8","11","36","14","29","5","226"
"R01220","北海道","士別市","19914","9382","欠損値","19815","9311","10504","2066","1066","1000","10384","5195","5189","","欠損値","4339","4144","1656","2488","57","欠損値","263","442","648","8650","8625","19194","5068","2703","","","1331","42","29","111922","27978","1242","46","111","64","欠損値","2","","283","18","78","欠損値","175","101","54","","17","103","unknown","46","177","1019","9824","395","1169","597","37","","356","","146","173","396","700","290","","1593","272","1062","501","395","1780","7649","574","63","unknown","13.3","16924674","2271553","16903165","3785744","2472054","","0","3","111","7","109","792","5","70","445","2","407","9507","5316","4191","313","191","欠損値","7773","","unknown","1730","1655","5805","","unknown","19207","1243","209","127","3","1","13","11","22","12","31","3","221"
"R01221","北海道","名寄市","29048","14072","14976","28926","14011","14915","3453","1763","1690","16755","8565","8190","unknown","欠損値","欠損値","4605","1790","2815","118","230","349","1275","1482","13086","13012","27548","7179","4938","3099","2015","1658","121","38","53520","19852","1505","19","101","unknown","8","8","欠損値","unknown","欠損値","","43","216","144","57","101","14","unknown","29","19","162","1324","14255","156","855","658","121","73","797","2847","335","290","229","1204","欠損値","630","2157","","809","2130","156","1527","12572","593","117","90.5","8.4","22635478","3081446","22152789","unknown","unknown","5101000","672","4","343","8","136","1295","4","79","609","2","655","14377","8310","6067","unknown","289","162","10132","3390","6742","1666","1612","10652","19","2","28048","","291","184","5","4","10","","92","22","54","5","353"
"R01222","北海道","欠損値","9076","4075","5001","9059","4063","4996","694","336","358","4199","2109","2090","4181","欠損値","2552","2400","846","1554","17","37","208","292","338","4254","4241","8537","2313","1649","1407","unknown","1050","35","欠損値","30252","5678","440","11","38","34","4","0","15","116","5","11","6","欠損値","45","unknown","29","7","51","13","11","73","356","4124","190","352","691","21","0","172","733","20","57","36","220","unknown","129","642","42","511","190","190","1061","2873","69","23","93.7","6.5","unknown","895307","10626981","2375507","1604351","1437616","13585","1","52","2","32","272","2","29","161","1","119","3400","1905","unknown","247","169","78","4719","1653","3066","欠損値","667","2413","1","1","8824","2293","99","33","1","2","4","4","16","4","14","2","121"
"R01223","北海道","根室市","26917","12862","14055","","12807","13826","3033","1570","1463","15533","7830","unknown","8285","3413","4872","","1570","2526","253","135","337","805","1037","11383","11363","26247","6314","3692","2885","1595","1498","106","55","41141","","1609","14","115","157","6","12","41","373","","55","","266","166","47","86","22","110","35","53","273","","13392","93","682","2589","60","欠損値","欠損値","2480","275","128","174","1072","525","455","1181","380","1289","1084","504","3278","9610","","1","95","8.7","欠損値","3067283","22509912","4629803","欠損値","欠損値","36482","3","291","欠損値","121","1110","7","104","619","2","594","13876","7766","6110","542","353","189","8907","2863","6044","2768","3162","7751","4","1","26526","7827","266","unknown","5","1","7","12","33","13","","7","368"
"unknown","欠損値","unknown","95648","48588","47060","95212","48398","46814","13573","unknown","unknown","欠損値","unknown","29274","欠損値","8851","11128","9217","3820","5397","435","762","","5795","5641","40638","40465","91267","24115","14048","欠損値","4454","","607","211","59450","19623","","39","unknown","","7","17","136","857","56","135","85","631","311","129","232","17","","32","42","400","2827","欠損値","unknown","2013","欠損値","140","82","4792","7717","493","1066","706","","unknown","1472","4210","293","2679","10042","439","9188","40604","181","42","91.9","9.5","40453592","14893642","40379238","13169992","4767952","4688104","0","unknown","1447","17","318","5504","9","178","2660","2","1709","46015","27907","18108","1933","unknown","724","29641","9992","unknown","1303","8253","34047","12","1","96711","1340","701","535","19","6","欠損値","47","123","63","140","12","976"
"R01225","北海道","滝川市","unknown","unknown","21717","41054","19402","21652","unknown","2327","2129","23001","11284","11717","13353","5615","7738","6738","2619","4119","80","","582","1903","2052","18651","18600","39552","欠損値","6591","4710","2965","2670","173","75","11590","10206","2033","16","","67","5","10","51","482","42","118","62","342","216","71","169","12","137","unknown","16","274","1743","17631","欠損値","1785","669","97","78","878","3887","469","392","393","1757","819","811","2927","298","1054","unknown","欠損値","2462","15029","329","74","95.5","10.6","21081822","4366973","20358978","6661916","unknown","","11955","2","307","6","","1817","4","unknown","909","3","1652","unknown","10458","unknown","760","501","259","15751","5380","unknown","926","3385","13819","1","1","40958","4996","377","欠損値","8","5","24","25","unknown","31","97","5","483"
"R01226","北海道","砂川市","欠損値","8216","9478","17666","8201","9465","1758","871","887","9355","4573","4782","6390","unknown","3720","3369","1299","2070","23","100","277","633","697","7858","7840","17017","unknown","2594","2323","1452","1195","55","26","7868","4884","","9","92","unknown","5","2","29","","12","39","25","145","83","31","77","7","68","10","","unknown","","8907","151","1109","750","unknown","欠損値","483","1714","87","unknown","93","671","欠損値","","1752","163","733","249","","1891","","","unknown","82.7","5.8","13241884","2070265","12837770","3374823","2534758","1284289","58752","1","124","5","83","676","2","35","欠損値","1","292","7740","4210","3530","","unknown","109","7444","2697","4747","463","1755","5339","1","1","17439","627","166","unknown","3","1","8","8","101","13","58","3","217"
"","北海道","歌志内市","3585","unknown","1933","unknown","","1931","217","122","95","1696","864","832","1672","unknown","1006","915","unknown","599","4","","86","73","unknown","1665","1659","3263","920","637","561","326","369","欠損値","2","5595","1398","164","1","18","6","欠損値","1","4","34","3","2","0","12","17","8","22","3","21","欠損値","欠損値","26","137","1270","1","136","85","6","4","53","165","10","5","0","欠損値","52","66","欠損値","9","85","90","1","261","欠損値","1","unknown","96.1","12.4","6015074","203453","5822941","","608617","264837","14843","0","0","1","欠損値","75","1","13","51","0","0","1306","732","574","115","86","29","1947","欠損値","","34","unknown","940","0","欠損値","3439","204","31","6","0","","4","2","4","2","4","1","13"
"R01228","北海道","深川市","21909","10118","11791","21846","10087","11759","1995","997","","11281","5551","5730","8616","3564","5052","4685","1855","2830","49","88","349","648","830","9669","9636","20605","5550","欠損値","2861","1875","1554","63","23","52942","21452","1130","30","85","","4","4","24","270","17","70","34","176","112","36","88","20","89","22","unknown","134","966","unknown","266","683","465","62","","399","1712","138","180","332","unknown","472","538","1911","","613","unknown","266","1152","7852","653","欠損値","84.4","14.6","18330304","2191750","18092395","4126059","2015639","3137248","32352","2","132","6","81","727","unknown","39","429","2","459","10006","5389","4617","294","","111","unknown","3452","5962","","1267","","","1","","1602","207","138","","3","14","13","53","17","39","9","unknown"
"欠損値","北海道","富良野市","22936","10783","","22742","10709","unknown","2684","1348","1336","13092","6426","6666","7096","2973","4123","3784","1501","2283","140","164","297","786","1065","9929","9892","21877","","3583","2273","1425","欠損値","","37","欠損値","19740","1258","37","79","45","3","2","27","309","23","90","33","219","110","57","104","13","88","19","37","124","1097","10726","489","欠損値","unknown","46","6","645","2060","176","211","欠損値","1419","466","欠損値","1724","309","812","303","unknown","1328","8909","620","24","95.3","7.4","13434424","2597493","13245881","4145725","unknown","unknown","70171","unknown","377","9","","1041","6","84","536","2","780","11843","6354","","434","286","148","7598","2596","欠損値","2401","1586","7584","欠損値","1","21910","2901","256","150","欠損値","2","11","13","42","20","50","1","129"
"","北海道","登別市","49625","23533","26092","49500","23483","26017","5312","欠損値","","26948","13364","13584","16602","unknown","9550","8054","欠損値","4893","92","288","633","1816","1993","21681","21640","47567","13324","6777","6233","3934","3009","195","78","21221","3744","1685","8","225","欠損値","6","unknown","40","394","26","107","41","233","184","59","130","12","105","17","9","314","1362","15228","68","1487","1001","","unknown","707","2935","143","303","150","2361","","813","2387","153","1131","831","unknown","2489","12666","31","9","97.4","12.7","21487655","5179647","20916331","8575948","2354296","2132383","20322","4","532","8","174","2139","unknown","92","1090","1","450","21048","11957","9091","1229","794","435","20246","7138","","258","5055","","3","2","","3166","298","168","7","6","19","21","54","27","50","2","142"
"R01231","北海道","恵庭市","69702","33781","35921","69450","33669","35781","欠損値","4571","欠損値","42897","21366","21531","17465","7716","","8362","3458","欠損値","190","427","663","3262","2790","28846","28752","67223","18092","8768","6752","unknown","unknown","290","128","29465","9736","1980","26","欠損値","112","6","欠損値","77","444","33","102","63","278","226","103","184","欠損値","103","22","26","292","1662","25977","271","1587","4787","113","106","1598","3971","unknown","362","440","1942","1513","1382","3225","216","642","","unknown","6380","19326","","86","91.5","5.4","unknown","8045267","27867827","unknown","欠損値","3185532","0","6","1047","8","219","3847","5","136","1940","2","1814","31646","18241","13405","1589","1002","587","25067","8724","16343","1212","unknown","22605","1","3","69447","817","351","unknown","12","5","37","38","117","51","131","9","unknown"
"R01233","北海道","伊達市","34995","unknown","18716","34893","16255","18638","欠損値","2056","1910","18910","9131","9779","12107","5081","7026","6278","2484","","97","172","495","1112","1238","unknown","14953","","9012","unknown","","unknown","2233","100","","欠損値","13092","1495","21","123","59","5","9","18","355","","unknown","40","200","148","50","155","unknown","106","19","22","185","1288","13378","","1024","880","95","33","491","2523","263","unknown","207","","831","657","3153","283","652","460","257","1928","11193","402","73","88.1","7.7","","3819773","","6836202","2522403","3580004","157721","2","287","10","153","1582","4","unknown","853","2","721","16124","欠損値","unknown","766","500","266","14031","5026","9005","1655","2895","11421","0","1","34579","5172","欠損値","148","4","欠損値","26","20","70","21","65","8","555"
"unknown","北海道","北広島市","59064","28273","30791","58912","28205","30707","7213","3688","3525","34586","16908","17678","unknown","7572","9531","欠損値","3098","4475","139","266","617","2229","2176","","23458","","16499","5512","","4103","2467","161","109","11905","7400","2026","14","205","128","4","13","147","567","15","93","69","162","unknown","76","217","12","141","16","14","335","1677","25922","178","1530","2837","68","87","4086","6122","173","459","263","1120","1751","1371","3862","157","1309","543","178","unknown","21371","106","","92.6","4.2","26729529","","26370496","8984613","3700230","2931572","0","6","686","9","200","2960","8","172","unknown","3","3014","26266","14823","11443","1193","791","402","22931","8180","14751","559","4482","欠損値","2","5","58863","1351","397","116","12","5","33","33","61","45","88","12","819"
